compartment,outflow_to,tis_percentage,compartment_duration,total_population
probation,release,50%,36,0.584
probation,release,85%,36,0.584
probation,release,100%,36,0.584
probation,prison,50%,12,0.244
probation,prison,85%,12,0.244
probation,prison,100%,12,0.244
probation,prison,50%,24,0.117
probation,prison,85%,24,0.117
probation,prison,100%,24,0.117
probation,prison,50%,36,0.055
probation,prison,85%,36,0.055
probation,prison,100%,36,0.055
