compartment,tis_percentage,time_step,total_population
prison,50%,0,2656
prison,85%,0,1173
prison,100%,0,2443
prison,50%,1,2687
prison,85%,1,1251
prison,100%,1,2598
prison,50%,2,792
prison,85%,2,2211
prison,100%,4,3537
prison,50%,3,2364
prison,85%,3,1348
prison,100%,3,2810
prison,50%,4,2235
prison,85%,4,1392
prison,100%,4,2924
prison,50%,5,2066
prison,85%,5,1424
prison,100%,5,3013
prison,50%,6,1861
prison,85%,6,1442
prison,100%,6,3080
