compartment,outflow_to,crime_classification,race,compartment_duration,total_population
prison,probation,class_x,white,24,0.08219178
prison,probation,class_x,white,36,0.13150685
prison,probation,class_x,white,48,0.1260274
prison,probation,class_x,white,60,0.07671233
prison,probation,class_x,white,72,0.05753425
prison,probation,class_x,white,84,0.08219178
prison,probation,class_x,white,96,0.05753425
prison,probation,class_x,white,108,0.05479452
prison,probation,class_x,white,120,0.04109589
prison,probation,class_x,white,132,0.02465753
prison,probation,class_x,white,144,0.02739726
prison,probation,class_x,white,156,0.02465753
prison,probation,class_x,white,168,0.02465753
prison,probation,class_x,white,180,0.02739726
prison,probation,class_x,white,192,0.0109589
prison,probation,class_x,white,204,0.01643836
prison,probation,class_x,white,216,0.00273973
prison,probation,class_x,white,228,0.00821918
prison,probation,class_x,white,240,0.02191781
prison,probation,class_x,white,252,0.01643836
prison,probation,class_x,white,264,0.0109589
prison,probation,class_x,white,276,0
prison,probation,class_x,white,288,0.00273973
prison,probation,class_x,white,300,0.0109589
prison,probation,class_x,white,312,0
prison,probation,class_x,white,324,0.00547945
prison,probation,class_x,white,336,0
prison,probation,class_x,white,348,0.00547945
prison,probation,class_x,white,360,0
prison,probation,class_x,white,372,0.00273973
prison,probation,class_x,white,384,0
prison,probation,class_x,white,396,0
prison,probation,class_x,white,408,0
prison,probation,class_x,white,420,0
prison,probation,class_x,white,432,0.00547945
prison,probation,class_x,white,444,0
prison,probation,class_x,white,456,0.00273973
prison,probation,class_x,white,468,0.00273973
prison,probation,class_x,white,480,0
prison,probation,class_x,white,492,0.00273973
prison,probation,class_x,white,504,0.00273973
prison,probation,class_x,white,516,0
prison,probation,class_x,white,528,0
prison,probation,class_x,white,540,0
prison,probation,class_x,white,552,0
prison,probation,class_x,white,564,0.00273973
prison,probation,class_x,white,576,0
prison,probation,class_x,white,588,0.00273973
prison,probation,class_x,white,600,0.00273973
prison,probation,class_x,white,612,0
prison,probation,class_x,white,624,0
prison,probation,class_x,white,636,0
prison,probation,class_x,white,648,0
prison,probation,class_x,white,660,0
prison,probation,class_x,white,672,0
prison,probation,class_x,white,684,0.00273973
prison,probation,class_x,white,696,0
prison,probation,class_x,white,708,0
prison,probation,class_x,white,720,0
prison,probation,class_x,non-white,12,0.03991597
prison,probation,class_x,non-white,24,0.10294118
prison,probation,class_x,non-white,36,0.13445378
prison,probation,class_x,non-white,48,0.12605042
prison,probation,class_x,non-white,60,0.11659664
prison,probation,class_x,non-white,72,0.07668067
prison,probation,class_x,non-white,84,0.09243697
prison,probation,class_x,non-white,96,0.04936975
prison,probation,class_x,non-white,108,0.04516807
prison,probation,class_x,non-white,120,0.03781513
prison,probation,class_x,non-white,132,0.02521008
prison,probation,class_x,non-white,144,0.01995798
prison,probation,class_x,non-white,156,0.0157563
prison,probation,class_x,non-white,168,0.01470588
prison,probation,class_x,non-white,180,0.01470588
prison,probation,class_x,non-white,192,0.01785714
prison,probation,class_x,non-white,204,0.00315126
prison,probation,class_x,non-white,216,0.00630252
prison,probation,class_x,non-white,228,0.00945378
prison,probation,class_x,non-white,240,0.00420168
prison,probation,class_x,non-white,252,0.00420168
prison,probation,class_x,non-white,264,0.00735294
prison,probation,class_x,non-white,276,0.00420168
prison,probation,class_x,non-white,288,0.00105042
prison,probation,class_x,non-white,300,0.00315126
prison,probation,class_x,non-white,312,0.00105042
prison,probation,class_x,non-white,324,0.00210084
prison,probation,class_x,non-white,336,0.00210084
prison,probation,class_x,non-white,348,0.00210084
prison,probation,class_x,non-white,360,0.00105042
prison,probation,class_x,non-white,372,0.00105042
prison,probation,class_x,non-white,384,0.00105042
prison,probation,class_x,non-white,396,0.00105042
prison,probation,class_x,non-white,408,0.00105042
prison,probation,class_x,non-white,420,0
prison,probation,class_x,non-white,432,0
prison,probation,class_x,non-white,444,0.00105042
prison,probation,class_x,non-white,456,0.00105042
prison,probation,class_x,non-white,468,0.00105042
prison,probation,class_x,non-white,480,0.00315126
prison,probation,class_x,non-white,492,0.00105042
prison,probation,class_x,non-white,504,0
prison,probation,class_x,non-white,516,0.00105042
prison,probation,class_x,non-white,528,0
prison,probation,class_x,non-white,540,0
prison,probation,class_x,non-white,552,0
prison,probation,class_x,non-white,564,0
prison,probation,class_x,non-white,576,0
prison,probation,class_x,non-white,588,0.00105042
prison,probation,class_x,non-white,600,0
prison,probation,class_x,non-white,612,0
prison,probation,class_x,non-white,624,0.00210084
prison,probation,class_x,non-white,636,0
prison,probation,class_x,non-white,648,0
prison,probation,class_x,non-white,660,0
prison,probation,class_x,non-white,672,0.00105042
prison,probation,class_x,non-white,684,0
prison,probation,class_x,non-white,696,0.00105042
prison,probation,class_x,non-white,708,0.00105042
prison,probation,class_x,non-white,720,0
prison,probation,class_1,white,12,0.16428571
prison,probation,class_1,white,24,0.37321429
prison,probation,class_1,white,36,0.20714286
prison,probation,class_1,white,48,0.10714286
prison,probation,class_1,white,60,0.04642857
prison,probation,class_1,white,72,0.01964286
prison,probation,class_1,white,84,0.02321429
prison,probation,class_1,white,96,0.01071429
prison,probation,class_1,white,108,0.00535714
prison,probation,class_1,white,120,0.00714286
prison,probation,class_1,white,132,0.00714286
prison,probation,class_1,white,144,0.00178571
prison,probation,class_1,white,156,0.00178571
prison,probation,class_1,white,168,0.00535714
prison,probation,class_1,white,180,0.00535714
prison,probation,class_1,white,192,0.00357143
prison,probation,class_1,white,204,0.00178571
prison,probation,class_1,white,216,0
prison,probation,class_1,white,228,0
prison,probation,class_1,white,240,0
prison,probation,class_1,white,252,0
prison,probation,class_1,white,264,0.00178571
prison,probation,class_1,white,276,0.00178571
prison,probation,class_1,white,288,0.00357143
prison,probation,class_1,white,300,0
prison,probation,class_1,white,312,0
prison,probation,class_1,white,324,0.00178571
prison,probation,class_1,white,336,0
prison,probation,class_1,white,348,0
prison,probation,class_1,white,360,0
prison,probation,class_1,non-white,12,0.2082922
prison,probation,class_1,non-white,24,0.32181639
prison,probation,class_1,non-white,36,0.21520237
prison,probation,class_1,non-white,48,0.10167818
prison,probation,class_1,non-white,60,0.04935834
prison,probation,class_1,non-white,72,0.023692
prison,probation,class_1,non-white,84,0.0266535
prison,probation,class_1,non-white,96,0.01382034
prison,probation,class_1,non-white,108,0.00987167
prison,probation,class_1,non-white,120,0.0029615
prison,probation,class_1,non-white,132,0.00691017
prison,probation,class_1,non-white,144,0.00493583
prison,probation,class_1,non-white,156,0.00197433
prison,probation,class_1,non-white,168,0.0029615
prison,probation,class_1,non-white,180,0.00197433
prison,probation,class_1,non-white,192,0
prison,probation,class_1,non-white,204,0
prison,probation,class_1,non-white,216,0
prison,probation,class_1,non-white,228,0.0029615
prison,probation,class_1,non-white,240,0.00197433
prison,probation,class_1,non-white,252,0
prison,probation,class_1,non-white,264,0.00098717
prison,probation,class_1,non-white,276,0
prison,probation,class_1,non-white,288,0
prison,probation,class_1,non-white,300,0
prison,probation,class_1,non-white,312,0
prison,probation,class_1,non-white,324,0.00098717
prison,probation,class_1,non-white,336,0
prison,probation,class_1,non-white,348,0
prison,probation,class_1,non-white,360,0.00098717
prison,probation,class_2,white,12,0.38355111
prison,probation,class_2,white,24,0.34588778
prison,probation,class_2,white,36,0.15142198
prison,probation,class_2,white,48,0.05918524
prison,probation,class_2,white,60,0.02997694
prison,probation,class_2,white,72,0.01306687
prison,probation,class_2,white,84,0.00461184
prison,probation,class_2,white,96,0.00538048
prison,probation,class_2,white,108,0.00153728
prison,probation,class_2,white,120,0.00076864
prison,probation,class_2,white,132,0.00153728
prison,probation,class_2,white,144,0.00076864
prison,probation,class_2,white,156,0
prison,probation,class_2,white,168,0.00153728
prison,probation,class_2,white,180,0.00076864
prison,probation,class_2,white,192,0
prison,probation,class_2,white,204,0
prison,probation,class_2,white,216,0
prison,probation,class_2,white,228,0
prison,probation,class_2,white,240,0
prison,probation,class_2,white,252,0
prison,probation,class_2,white,264,0
prison,probation,class_2,white,276,0
prison,probation,class_2,white,288,0
prison,probation,class_2,white,300,0
prison,probation,class_2,white,312,0
prison,probation,class_2,white,324,0
prison,probation,class_2,white,336,0
prison,probation,class_2,white,348,0
prison,probation,class_2,non-white,12,0.43471338
prison,probation,class_2,non-white,24,0.32484076
prison,probation,class_2,non-white,36,0.14543524
prison,probation,class_2,non-white,48,0.04989384
prison,probation,class_2,non-white,60,0.01804671
prison,probation,class_2,non-white,72,0.00902335
prison,probation,class_2,non-white,84,0.00636943
prison,probation,class_2,non-white,96,0.00159236
prison,probation,class_2,non-white,108,0.00424628
prison,probation,class_2,non-white,120,0.00159236
prison,probation,class_2,non-white,132,0.00106157
prison,probation,class_2,non-white,144,0.00159236
prison,probation,class_2,non-white,156,0
prison,probation,class_2,non-white,168,0.00159236
prison,probation,class_2,non-white,180,0
prison,probation,class_2,non-white,192,0
prison,probation,class_2,non-white,204,0
prison,probation,class_2,non-white,216,0
prison,probation,class_2,non-white,228,0
prison,probation,class_2,non-white,240,0
prison,probation,class_2,non-white,252,0
prison,probation,class_2,non-white,264,0
prison,probation,class_2,non-white,276,0
prison,probation,class_2,non-white,288,0
prison,probation,class_2,non-white,300,0
prison,probation,class_2,non-white,312,0
prison,probation,class_2,non-white,324,0
prison,probation,class_2,non-white,336,0
prison,probation,class_2,non-white,348,0
prison,probation,class_3,white,12,0.62480253
prison,probation,class_3,white,24,0.2685624
prison,probation,class_3,white,36,0.0671406
prison,probation,class_3,white,48,0.02448657
prison,probation,class_3,white,60,0.00947867
prison,probation,class_3,white,72,0.00394945
prison,probation,class_3,white,84,0
prison,probation,class_3,white,96,0
prison,probation,class_3,white,108,0.00078989
prison,probation,class_3,white,120,0.00078989
prison,probation,class_3,white,132,0
prison,probation,class_3,white,144,0
prison,probation,class_3,white,156,0
prison,probation,class_3,white,168,0
prison,probation,class_3,white,180,0
prison,probation,class_3,non-white,12,0.70416025
prison,probation,class_3,non-white,24,0.21494607
prison,probation,class_3,non-white,36,0.05546995
prison,probation,class_3,non-white,48,0.01617874
prison,probation,class_3,non-white,60,0.00693374
prison,probation,class_3,non-white,72,0.00231125
prison,probation,class_3,non-white,84,0
prison,probation,class_3,non-white,96,0
prison,probation,class_3,non-white,108,0
prison,probation,class_3,non-white,120,0
prison,probation,class_3,non-white,132,0
prison,probation,class_3,non-white,144,0
prison,probation,class_3,non-white,156,0
prison,probation,class_3,non-white,168,0
prison,probation,class_3,non-white,180,0
