compartment,outflow_to,crime_classification,race,compartment_duration,total_population
prison,probation,murder,non-white,684,0.0039727582292849
prison,probation,murder,non-white,696,0.00283768444948922
prison,probation,murder,non-white,708,0.00227014755959137
prison,probation,murder,non-white,720,0.065266742338252
prison,probation,murder,non-white,732,0.000567536889897843
prison,probation,murder,non-white,744,0.00170261066969353
prison,probation,murder,non-white,756,0
prison,probation,murder,non-white,768,0.000567536889897843
prison,probation,murder,non-white,780,0.025539160045403
prison,probation,murder,non-white,792,0.000567536889897843
prison,probation,murder,non-white,804,0
prison,probation,murder,non-white,816,0.00113507377979569
prison,probation,murder,non-white,828,0.000567536889897843
prison,probation,murder,non-white,840,0.0124858115777526
prison,probation,murder,non-white,852,0.000567536889897843
prison,probation,murder,non-white,864,0.00113507377979569
prison,probation,murder,non-white,876,0
prison,probation,murder,non-white,888,0
prison,probation,murder,non-white,900,0.0153234960272418
prison,probation,murder,non-white,912,0
prison,probation,murder,non-white,924,0
prison,probation,murder,non-white,936,0
prison,probation,murder,non-white,948,0
prison,probation,murder,non-white,960,0.0136208853575482
prison,probation,class_x,white,12,0
prison,probation,class_x,white,24,0
prison,probation,class_x,white,36,0
prison,probation,class_x,white,48,0.000729217306757414
prison,probation,class_x,white,60,0.000243072435585805
prison,probation,class_x,white,72,0.214632960622265
prison,probation,class_x,white,84,0.0892075838599903
prison,probation,class_x,white,96,0.108167233835683
prison,probation,class_x,white,108,0.0585804569761789
prison,probation,class_x,white,120,0.119591638308216
prison,probation,class_x,white,132,0.0233349538162372
prison,probation,class_x,white,144,0.0692756441419543
prison,probation,class_x,white,156,0.0177442877977637
prison,probation,class_x,white,168,0.0284394749635391
prison,probation,class_x,white,180,0.0641711229946524
prison,probation,class_x,white,192,0.0155566358774915
prison,probation,class_x,white,204,0.0119105493437044
prison,probation,class_x,white,216,0.0267379679144385
prison,probation,class_x,white,228,0.00267379679144385
prison,probation,class_x,white,240,0.0425376762275158
prison,probation,class_x,white,252,0.0102090422946038
prison,probation,class_x,white,264,0.00583373845405931
prison,probation,class_x,white,276,0.0053475935828877
prison,probation,class_x,white,288,0.00607681088964511
prison,probation,class_x,white,300,0.0216334467671366
prison,probation,class_x,white,312,0.00267379679144385
prison,probation,class_x,white,324,0.00218765192027224
prison,probation,class_x,white,336,0.00315994166261546
prison,probation,class_x,white,348,0.000729217306757414
prison,probation,class_x,white,360,0.0177442877977637
prison,probation,class_x,white,372,0.000972289742343218
prison,probation,class_x,white,384,0.000486144871171609
prison,probation,class_x,white,396,0.000243072435585805
prison,probation,class_x,white,408,0.000243072435585805
prison,probation,class_x,white,420,0.00364608653378707
prison,probation,class_x,white,432,0.000729217306757414
prison,probation,class_x,white,444,0
prison,probation,class_x,white,456,0.000486144871171609
prison,probation,class_x,white,468,0.000729217306757414
prison,probation,class_x,white,480,0.00704910063198833
prison,probation,class_x,white,492,0.000243072435585805
prison,probation,class_x,white,504,0.000486144871171609
prison,probation,class_x,white,516,0
prison,probation,class_x,white,528,0.000243072435585805
prison,probation,class_x,white,540,0.00340301409820126
prison,probation,class_x,white,552,0.000243072435585805
prison,probation,class_x,white,564,0
prison,probation,class_x,white,576,0
prison,probation,class_x,white,588,0
prison,probation,class_x,white,600,0.00170150704910063
prison,probation,class_x,white,612,0
prison,probation,class_x,white,624,0
prison,probation,class_x,white,636,0
prison,probation,class_x,white,648,0.000243072435585805
prison,probation,class_x,white,660,0.000243072435585805
prison,probation,class_x,white,672,0
prison,probation,class_x,white,684,0
prison,probation,class_x,white,696,0
prison,probation,class_x,white,708,0
prison,probation,class_x,white,720,0.00340301409820126
prison,probation,class_x,non-white,12,0.000211550666384599
prison,probation,class_x,non-white,24,0.000211550666384599
prison,probation,class_x,non-white,36,0.00112827022071786
prison,probation,class_x,non-white,48,0.00211550666384599
prison,probation,class_x,non-white,60,0.000352584443974332
prison,probation,class_x,non-white,72,0.214935477046753
