compartment,outflow_to,race,compartment_duration,total_population
probation,release,white,36,0.584
probation,release,non-white,36,0.584
probation,prison,white,12,0.244
probation,prison,non-white,12,0.244
probation,prison,white,24,0.117
probation,prison,non-white,24,0.117
probation,prison,white,36,0.055
probation,prison,non-white,36,0.055
