compartment,outflow_to,offense,age,compartment_duration,rate_by_age,rate_by_offense,total_population
release,prison,murder/manslaughter,58,2,0.07,0.06,0.065
release,prison,murder/manslaughter,58,3,0.06,0.05,0.055
release,release_permanently,murder/manslaughter,58,3,,,0.795
release,prison,Other,58,1,0.1,0.08,0.09
release,prison,Other,58,2,0.07,0.11,0.09
release,prison,Other,58,3,0.06,0.09,0.075
release,release_permanently,Other,58,3,,,0.745
release,prison,Robbery,58,1,0.1,0.1,0.1
release,prison,Robbery,58,2,0.07,0.1,0.085
release,prison,Robbery,58,3,0.06,0.08,0.07
release,release_permanently,Robbery,58,3,,,0.745
release,prison,Sexual offenses,58,1,0.1,0.13,0.115
release,prison,Sexual offenses,58,2,0.07,0.09,0.08
release,prison,Sexual offenses,58,3,0.06,0.06,0.06
release,release_permanently,Sexual offenses,58,3,,,0.745
release,prison,Theft/forgery/fraud,58,1,0.1,0.08,0.09
release,prison,Theft/forgery/fraud,58,2,0.07,0.11,0.09
release,prison,Theft/forgery/fraud,58,3,0.06,0.08,0.07
release,release_permanently,Theft/forgery/fraud,58,3,,,0.75
release,prison,Violent personal,58,1,0.1,0.11,0.105
release,prison,Violent personal,58,2,0.07,0.08,0.075
release,prison,Violent personal,58,3,0.06,0.07,0.065
release,release_permanently,Violent personal,58,3,,,0.755
release,prison,Weapons,58,1,0.1,0.08,0.09
release,prison,Weapons,58,2,0.07,0.11,0.09
release,prison,Weapons,58,3,0.06,0.09,0.075
release,release_permanently,Weapons,58,3,,,0.745
release,prison,Burglary,59,1,0.1,0.1,0.1
release,prison,Burglary,59,2,0.07,0.11,0.09
release,prison,Burglary,59,3,0.06,0.08,0.07
release,release_permanently,Burglary,59,3,,,0.74
release,prison,Drug offenses,59,1,0.1,0.05,0.075
release,prison,Drug offenses,59,2,0.07,0.07,0.07
release,prison,Drug offenses,59,3,0.06,0.07,0.065
release,release_permanently,Drug offenses,59,3,,,0.79
release,prison,murder/manslaughter,59,1,0.1,0.07,0.085
release,prison,murder/manslaughter,59,2,0.07,0.06,0.065
release,prison,murder/manslaughter,59,3,0.06,0.05,0.055
release,release_permanently,murder/manslaughter,59,3,,,0.795
release,prison,Other,59,1,0.1,0.08,0.09
release,prison,Other,59,2,0.07,0.11,0.09
release,prison,Other,59,3,0.06,0.09,0.075
release,release_permanently,Other,59,3,,,0.745
release,prison,Robbery,59,1,0.1,0.1,0.1
release,prison,Robbery,59,2,0.07,0.1,0.085
release,prison,Robbery,59,3,0.06,0.08,0.07
release,release_permanently,Robbery,59,3,,,0.745
release,prison,Sexual offenses,59,1,0.1,0.13,0.115
release,prison,Sexual offenses,59,2,0.07,0.09,0.08
release,prison,Sexual offenses,59,3,0.06,0.06,0.06
release,release_permanently,Sexual offenses,59,3,,,0.745
release,prison,Theft/forgery/fraud,59,1,0.1,0.08,0.09
release,prison,Theft/forgery/fraud,59,2,0.07,0.11,0.09
release,prison,Theft/forgery/fraud,59,3,0.06,0.08,0.07
release,release_permanently,Theft/forgery/fraud,59,3,,,0.75
release,prison,Violent personal,59,1,0.1,0.11,0.105
release,prison,Violent personal,59,2,0.07,0.08,0.075
release,prison,Violent personal,59,3,0.06,0.07,0.065
release,release_permanently,Violent personal,59,3,,,0.755
release,prison,Weapons,59,1,0.1,0.08,0.09
release,prison,Weapons,59,2,0.07,0.11,0.09
release,prison,Weapons,59,3,0.06,0.09,0.075
release,release_permanently,Weapons,59,3,,,0.745
release,prison,Burglary,60,1,0.08,0.1,0.09
release,prison,Burglary,60,2,0.04,0.11,0.075
release,prison,Burglary,60,3,0.04,0.08,0.06
release,release_permanently,Burglary,60,3,,,0.775
release,prison,Drug offenses,60,1,0.08,0.05,0.065
release,prison,Drug offenses,60,2,0.04,0.07,0.055
release,prison,Drug offenses,60,3,0.04,0.07,0.055
release,release_permanently,Drug offenses,60,3,,,0.825
release,prison,murder/manslaughter,60,1,0.08,0.07,0.075
release,prison,murder/manslaughter,60,2,0.04,0.06,0.05
release,prison,murder/manslaughter,60,3,0.04,0.05,0.045
release,release_permanently,murder/manslaughter,60,3,,,0.83
release,prison,Other,60,1,0.08,0.08,0.08
release,prison,Other,60,2,0.04,0.11,0.075
release,prison,Other,60,3,0.04,0.09,0.065
release,release_permanently,Other,60,3,,,0.78
release,prison,Robbery,60,1,0.08,0.1,0.09
release,prison,Robbery,60,2,0.04,0.1,0.07
release,prison,Robbery,60,3,0.04,0.08,0.06
release,release_permanently,Robbery,60,3,,,0.78
release,prison,Sexual offenses,60,1,0.08,0.13,0.105
release,prison,Sexual offenses,60,2,0.04,0.09,0.065
release,prison,Sexual offenses,60,3,0.04,0.06,0.05
release,release_permanently,Sexual offenses,60,3,,,0.78
release,prison,Theft/forgery/fraud,60,1,0.08,0.08,0.08
release,prison,Theft/forgery/fraud,60,2,0.04,0.11,0.075
release,prison,Theft/forgery/fraud,60,3,0.04,0.08,0.06
release,release_permanently,Theft/forgery/fraud,60,3,,,0.785
release,prison,Violent personal,60,1,0.08,0.11,0.095
release,prison,Violent personal,60,2,0.04,0.08,0.06
release,prison,Violent personal,60,3,0.04,0.07,0.055
release,release_permanently,Violent personal,60,3,,,0.79
release,prison,Weapons,60,1,0.08,0.08,0.08
release,prison,Weapons,60,2,0.04,0.11,0.075
release,prison,Weapons,60,3,0.04,0.09,0.065
release,release_permanently,Weapons,60,3,,,0.78
release,prison,Burglary,61,1,0.08,0.1,0.09
release,prison,Burglary,61,2,0.04,0.11,0.075
release,prison,Burglary,61,3,0.04,0.08,0.06
release,release_permanently,Burglary,61,3,,,0.775
release,prison,Drug offenses,61,1,0.08,0.05,0.065
release,prison,Drug offenses,61,2,0.04,0.07,0.055
release,prison,Drug offenses,61,3,0.04,0.07,0.055
release,release_permanently,Drug offenses,61,3,,,0.825
release,prison,murder/manslaughter,61,1,0.08,0.07,0.075
release,prison,murder/manslaughter,61,2,0.04,0.06,0.05
release,prison,murder/manslaughter,61,3,0.04,0.05,0.045
release,release_permanently,murder/manslaughter,61,3,,,0.83
release,prison,Other,61,1,0.08,0.08,0.08
release,prison,Other,61,2,0.04,0.11,0.075
release,prison,Other,61,3,0.04,0.09,0.065
release,release_permanently,Other,61,3,,,0.78
release,prison,Robbery,61,1,0.08,0.1,0.09
release,prison,Robbery,61,2,0.04,0.1,0.07
release,prison,Robbery,61,3,0.04,0.08,0.06
release,release_permanently,Robbery,61,3,,,0.78
release,prison,Sexual offenses,61,1,0.08,0.13,0.105
release,prison,Sexual offenses,61,2,0.04,0.09,0.065
release,prison,Sexual offenses,61,3,0.04,0.06,0.05
release,release_permanently,Sexual offenses,61,3,,,0.78
release,prison,Theft/forgery/fraud,61,1,0.08,0.08,0.08
release,prison,Theft/forgery/fraud,61,2,0.04,0.11,0.075
release,prison,Theft/forgery/fraud,61,3,0.04,0.08,0.06
release,release_permanently,Theft/forgery/fraud,61,3,,,0.785
release,prison,Violent personal,61,1,0.08,0.11,0.095
release,prison,Violent personal,61,2,0.04,0.08,0.06
release,prison,Violent personal,61,3,0.04,0.07,0.055
release,release_permanently,Violent personal,61,3,,,0.79
release,prison,Weapons,61,1,0.08,0.08,0.08
release,prison,Weapons,61,2,0.04,0.11,0.075
release,prison,Weapons,61,3,0.04,0.09,0.065
release,release_permanently,Weapons,61,3,,,0.78
release,prison,Burglary,62,1,0.08,0.1,0.09
release,prison,Burglary,62,2,0.04,0.11,0.075
release,prison,Burglary,62,3,0.04,0.08,0.06
release,release_permanently,Burglary,62,3,,,0.775
release,prison,Drug offenses,62,1,0.08,0.05,0.065
release,prison,Drug offenses,62,2,0.04,0.07,0.055
release,prison,Drug offenses,62,3,0.04,0.07,0.055
release,release_permanently,Drug offenses,62,3,,,0.825
release,prison,murder/manslaughter,62,1,0.08,0.07,0.075
release,prison,murder/manslaughter,62,2,0.04,0.06,0.05
release,prison,murder/manslaughter,62,3,0.04,0.05,0.045
release,release_permanently,murder/manslaughter,62,3,,,0.83
release,prison,Other,62,1,0.08,0.08,0.08
release,prison,Other,62,2,0.04,0.11,0.075
release,prison,Other,62,3,0.04,0.09,0.065
release,release_permanently,Other,62,3,,,0.78
release,prison,Robbery,62,1,0.08,0.1,0.09
release,prison,Robbery,62,2,0.04,0.1,0.07
release,prison,Robbery,62,3,0.04,0.08,0.06
release,release_permanently,Robbery,62,3,,,0.78
release,prison,Sexual offenses,62,1,0.08,0.13,0.105
release,prison,Sexual offenses,62,2,0.04,0.09,0.065
release,prison,Sexual offenses,62,3,0.04,0.06,0.05
release,release_permanently,Sexual offenses,62,3,,,0.78
release,prison,Theft/forgery/fraud,62,1,0.08,0.08,0.08
release,prison,Theft/forgery/fraud,62,2,0.04,0.11,0.075
release,prison,Theft/forgery/fraud,62,3,0.04,0.08,0.06
release,release_permanently,Theft/forgery/fraud,62,3,,,0.785
release,prison,Violent personal,62,1,0.08,0.11,0.095
release,prison,Violent personal,62,2,0.04,0.08,0.06
release,prison,Violent personal,62,3,0.04,0.07,0.055
release,release_permanently,Violent personal,62,3,,,0.79
release,prison,Weapons,62,1,0.08,0.08,0.08
release,prison,Weapons,62,2,0.04,0.11,0.075
release,prison,Weapons,62,3,0.04,0.09,0.065
release,release_permanently,Weapons,62,3,,,0.78
release,prison,Burglary,63,1,0.08,0.1,0.09
release,prison,Burglary,63,2,0.04,0.11,0.075
release,prison,Burglary,63,3,0.04,0.08,0.06
release,release_permanently,Burglary,63,3,,,0.775
release,prison,Drug offenses,63,1,0.08,0.05,0.065
release,prison,Drug offenses,63,2,0.04,0.07,0.055
release,prison,Drug offenses,63,3,0.04,0.07,0.055
release,release_permanently,Drug offenses,63,3,,,0.825
release,prison,murder/manslaughter,63,1,0.08,0.07,0.075
release,prison,murder/manslaughter,63,2,0.04,0.06,0.05
release,prison,murder/manslaughter,63,3,0.04,0.05,0.045
release,release_permanently,murder/manslaughter,63,3,,,0.83
release,prison,Other,63,1,0.08,0.08,0.08
release,prison,Other,63,2,0.04,0.11,0.075
release,prison,Other,63,3,0.04,0.09,0.065
release,release_permanently,Other,63,3,,,0.78
release,prison,Robbery,63,1,0.08,0.1,0.09
release,prison,Robbery,63,2,0.04,0.1,0.07
release,prison,Robbery,63,3,0.04,0.08,0.06
release,release_permanently,Robbery,63,3,,,0.78
release,prison,Sexual offenses,63,1,0.08,0.13,0.105
release,prison,Sexual offenses,63,2,0.04,0.09,0.065
release,prison,Sexual offenses,63,3,0.04,0.06,0.05
release,release_permanently,Sexual offenses,63,3,,,0.78
release,prison,Theft/forgery/fraud,63,1,0.08,0.08,0.08
release,prison,Theft/forgery/fraud,63,2,0.04,0.11,0.075
release,prison,Theft/forgery/fraud,63,3,0.04,0.08,0.06
release,release_permanently,Theft/forgery/fraud,63,3,,,0.785
release,prison,Violent personal,63,1,0.08,0.11,0.095
release,prison,Violent personal,63,2,0.04,0.08,0.06
release,prison,Violent personal,63,3,0.04,0.07,0.055
release,release_permanently,Violent personal,63,3,,,0.79
release,prison,Weapons,63,1,0.08,0.08,0.08
release,prison,Weapons,63,2,0.04,0.11,0.075
release,prison,Weapons,63,3,0.04,0.09,0.065
release,release_permanently,Weapons,63,3,,,0.78
release,prison,Burglary,64,1,0.08,0.1,0.09
release,prison,Burglary,64,2,0.04,0.11,0.075
release,prison,Burglary,64,3,0.04,0.08,0.06
release,release_permanently,Burglary,64,3,,,0.775
release,prison,Drug offenses,64,1,0.08,0.05,0.065
release,prison,Drug offenses,64,2,0.04,0.07,0.055
release,prison,Drug offenses,64,3,0.04,0.07,0.055
release,release_permanently,Drug offenses,64,3,,,0.825
release,prison,murder/manslaughter,64,1,0.08,0.07,0.075
release,prison,murder/manslaughter,64,2,0.04,0.06,0.05
release,prison,murder/manslaughter,64,3,0.04,0.05,0.045
release,release_permanently,murder/manslaughter,64,3,,,0.83
release,prison,Other,64,1,0.08,0.08,0.08
release,prison,Other,64,2,0.04,0.11,0.075
release,prison,Other,64,3,0.04,0.09,0.065
release,release_permanently,Other,64,3,,,0.78
release,prison,Robbery,64,1,0.08,0.1,0.09
release,prison,Robbery,64,2,0.04,0.1,0.07
release,prison,Robbery,64,3,0.04,0.08,0.06
release,release_permanently,Robbery,64,3,,,0.78
release,prison,Sexual offenses,64,1,0.08,0.13,0.105
release,prison,Sexual offenses,64,2,0.04,0.09,0.065
release,prison,Sexual offenses,64,3,0.04,0.06,0.05
release,release_permanently,Sexual offenses,64,3,,,0.78
release,prison,Theft/forgery/fraud,64,1,0.08,0.08,0.08
release,prison,Theft/forgery/fraud,64,2,0.04,0.11,0.075
release,prison,Theft/forgery/fraud,64,3,0.04,0.08,0.06
release,release_permanently,Theft/forgery/fraud,64,3,,,0.785
release,prison,Violent personal,64,1,0.08,0.11,0.095
release,prison,Violent personal,64,2,0.04,0.08,0.06
release,prison,Violent personal,64,3,0.04,0.07,0.055
release,release_permanently,Violent personal,64,3,,,0.79
release,prison,Weapons,64,1,0.08,0.08,0.08
release,prison,Weapons,64,2,0.04,0.11,0.075
release,prison,Weapons,64,3,0.04,0.09,0.065
release,release_permanently,Weapons,64,3,,,0.78
release,prison,Burglary,65,1,0.08,0.1,0.09
release,prison,Burglary,65,2,0.04,0.11,0.075
release,prison,Burglary,65,3,0.04,0.08,0.06
release,release_permanently,Burglary,65,3,,,0.775
release,prison,Drug offenses,65,1,0.08,0.05,0.065
release,prison,Drug offenses,65,2,0.04,0.07,0.055
release,prison,Drug offenses,65,3,0.04,0.07,0.055
release,release_permanently,Drug offenses,65,3,,,0.825
release,prison,murder/manslaughter,65,1,0.08,0.07,0.075
release,prison,murder/manslaughter,65,2,0.04,0.06,0.05
release,prison,murder/manslaughter,65,3,0.04,0.05,0.045
release,release_permanently,murder/manslaughter,65,3,,,0.83
release,prison,Other,65,1,0.08,0.08,0.08
release,prison,Other,65,2,0.04,0.11,0.075
release,prison,Other,65,3,0.04,0.09,0.065
release,release_permanently,Other,65,3,,,0.78
release,prison,Robbery,65,1,0.08,0.1,0.09
release,prison,Robbery,65,2,0.04,0.1,0.07
release,prison,Robbery,65,3,0.04,0.08,0.06
release,release_permanently,Robbery,65,3,,,0.78
release,prison,Sexual offenses,65,1,0.08,0.13,0.105
release,prison,Sexual offenses,65,2,0.04,0.09,0.065
release,prison,Sexual offenses,65,3,0.04,0.06,0.05
release,release_permanently,Sexual offenses,65,3,,,0.78
release,prison,Theft/forgery/fraud,65,1,0.08,0.08,0.08
release,prison,Theft/forgery/fraud,65,2,0.04,0.11,0.075
release,prison,Theft/forgery/fraud,65,3,0.04,0.08,0.06
release,release_permanently,Theft/forgery/fraud,65,3,,,0.785
release,prison,Violent personal,65,1,0.08,0.11,0.095
release,prison,Violent personal,65,2,0.04,0.08,0.06
release,prison,Violent personal,65,3,0.04,0.07,0.055
release,release_permanently,Violent personal,65,3,,,0.79
release,prison,Weapons,65,1,0.08,0.08,0.08
release,prison,Weapons,65,2,0.04,0.11,0.075
release,prison,Weapons,65,3,0.04,0.09,0.065
release,release_permanently,Weapons,65,3,,,0.78
release,prison,Burglary,66,1,0.08,0.1,0.09
release,prison,Burglary,66,2,0.04,0.11,0.075
release,prison,Burglary,66,3,0.04,0.08,0.06
release,release_permanently,Burglary,66,3,,,0.775
release,prison,Drug offenses,66,1,0.08,0.05,0.065
release,prison,Drug offenses,66,2,0.04,0.07,0.055
release,prison,Drug offenses,66,3,0.04,0.07,0.055
release,release_permanently,Drug offenses,66,3,,,0.825
release,prison,murder/manslaughter,66,1,0.08,0.07,0.075
release,prison,murder/manslaughter,66,2,0.04,0.06,0.05
release,prison,murder/manslaughter,66,3,0.04,0.05,0.045
release,release_permanently,murder/manslaughter,66,3,,,0.83
release,prison,Other,66,1,0.08,0.08,0.08
release,prison,Other,66,2,0.04,0.11,0.075
release,prison,Other,66,3,0.04,0.09,0.065
release,release_permanently,Other,66,3,,,0.78
release,prison,Robbery,66,1,0.08,0.1,0.09
release,prison,Robbery,66,2,0.04,0.1,0.07
