time_step,compartment,outflow_to,offense,age,total_population
1,pretrial,prison,Burglary,55,70.18
1,pretrial,prison,Burglary,56,70.18
1,pretrial,prison,Burglary,57,70.18
1,pretrial,prison,Burglary,58,70.18
1,pretrial,prison,Burglary,59,70.18
1,pretrial,prison,Burglary,60,35.9612
1,pretrial,prison,Burglary,61,35.9612
1,pretrial,prison,Burglary,62,35.9612
1,pretrial,prison,Burglary,63,35.9612
1,pretrial,prison,Burglary,64,35.9612
1,pretrial,prison,Burglary,65,13.1648
1,pretrial,prison,Burglary,66,13.1648
1,pretrial,prison,Burglary,67,13.1648
1,pretrial,prison,Burglary,68,13.1648
1,pretrial,prison,Burglary,69,13.1648
1,pretrial,prison,Burglary,70,4.6948
1,pretrial,prison,Burglary,71,4.6948
1,pretrial,prison,Burglary,72,4.6948
1,pretrial,prison,Burglary,73,4.6948
1,pretrial,prison,Burglary,74,4.6948
1,pretrial,prison,Burglary,75,1.4036
1,pretrial,prison,Burglary,76,1.4036
1,pretrial,prison,Burglary,77,1.4036
1,pretrial,prison,Burglary,78,1.4036
1,pretrial,prison,Burglary,79,1.4036
1,pretrial,prison,Burglary,80,0.4356
1,pretrial,prison,Burglary,81,0.4356
1,pretrial,prison,Burglary,82,0.4356
1,pretrial,prison,Burglary,83,0.4356
1,pretrial,prison,Burglary,84,0.4356
1,pretrial,prison,Burglary,85,0.0726
1,pretrial,prison,Burglary,86,0.0726
1,pretrial,prison,Burglary,87,0.0726
1,pretrial,prison,Burglary,88,0.0726
1,pretrial,prison,Burglary,89,0.0726
1,pretrial,prison,Burglary,90,0
1,pretrial,prison,Burglary,91,0
1,pretrial,prison,Burglary,92,0
1,pretrial,prison,Burglary,93,0
1,pretrial,prison,Burglary,94,0
1,pretrial,prison,Drug offenses,55,64.96
1,pretrial,prison,Drug offenses,56,64.96
1,pretrial,prison,Drug offenses,57,64.96
1,pretrial,prison,Drug offenses,58,64.96
1,pretrial,prison,Drug offenses,59,64.96
1,pretrial,prison,Drug offenses,60,33.2864
1,pretrial,prison,Drug offenses,61,33.2864
1,pretrial,prison,Drug offenses,62,33.2864
1,pretrial,prison,Drug offenses,63,33.2864
1,pretrial,prison,Drug offenses,64,33.2864
1,pretrial,prison,Drug offenses,65,12.1856
1,pretrial,prison,Drug offenses,66,12.1856
1,pretrial,prison,Drug offenses,67,12.1856
1,pretrial,prison,Drug offenses,68,12.1856
1,pretrial,prison,Drug offenses,69,12.1856
1,pretrial,prison,Drug offenses,70,4.3456
1,pretrial,prison,Drug offenses,71,4.3456
1,pretrial,prison,Drug offenses,72,4.3456
1,pretrial,prison,Drug offenses,73,4.3456
1,pretrial,prison,Drug offenses,74,4.3456
1,pretrial,prison,Drug offenses,75,1.2992
1,pretrial,prison,Drug offenses,76,1.2992
1,pretrial,prison,Drug offenses,77,1.2992
1,pretrial,prison,Drug offenses,78,1.2992
1,pretrial,prison,Drug offenses,79,1.2992
1,pretrial,prison,Drug offenses,80,0.4032
1,pretrial,prison,Drug offenses,81,0.4032
1,pretrial,prison,Drug offenses,82,0.4032
1,pretrial,prison,Drug offenses,83,0.4032
1,pretrial,prison,Drug offenses,84,0.4032
1,pretrial,prison,Drug offenses,85,0.0672
1,pretrial,prison,Drug offenses,86,0.0672
1,pretrial,prison,Drug offenses,87,0.0672
1,pretrial,prison,Drug offenses,88,0.0672
1,pretrial,prison,Drug offenses,89,0.0672
1,pretrial,prison,Drug offenses,90,0
1,pretrial,prison,Drug offenses,91,0
1,pretrial,prison,Drug offenses,92,0
1,pretrial,prison,Drug offenses,93,0
1,pretrial,prison,Drug offenses,94,0
1,pretrial,prison,murder/manslaughter,55,126.44
1,pretrial,prison,murder/manslaughter,56,126.44
1,pretrial,prison,murder/manslaughter,57,126.44
1,pretrial,prison,murder/manslaughter,58,126.44
1,pretrial,prison,murder/manslaughter,59,126.44
1,pretrial,prison,murder/manslaughter,60,64.7896
1,pretrial,prison,murder/manslaughter,61,64.7896
1,pretrial,prison,murder/manslaughter,62,64.7896
1,pretrial,prison,murder/manslaughter,63,64.7896
1,pretrial,prison,murder/manslaughter,64,64.7896
1,pretrial,prison,murder/manslaughter,65,23.7184
1,pretrial,prison,murder/manslaughter,66,23.7184
1,pretrial,prison,murder/manslaughter,67,23.7184
1,pretrial,prison,murder/manslaughter,68,23.7184
1,pretrial,prison,murder/manslaughter,69,23.7184
1,pretrial,prison,murder/manslaughter,70,8.4584
1,pretrial,prison,murder/manslaughter,71,8.4584
1,pretrial,prison,murder/manslaughter,72,8.4584
1,pretrial,prison,murder/manslaughter,73,8.4584
1,pretrial,prison,murder/manslaughter,74,8.4584
1,pretrial,prison,murder/manslaughter,75,2.5288
1,pretrial,prison,murder/manslaughter,76,2.5288
1,pretrial,prison,murder/manslaughter,77,2.5288
1,pretrial,prison,murder/manslaughter,78,2.5288
1,pretrial,prison,murder/manslaughter,79,2.5288
1,pretrial,prison,murder/manslaughter,80,0.7848
1,pretrial,prison,murder/manslaughter,81,0.7848
1,pretrial,prison,murder/manslaughter,82,0.7848
1,pretrial,prison,murder/manslaughter,83,0.7848
1,pretrial,prison,murder/manslaughter,84,0.7848
1,pretrial,prison,murder/manslaughter,85,0.1308
1,pretrial,prison,murder/manslaughter,86,0.1308
1,pretrial,prison,murder/manslaughter,87,0.1308
1,pretrial,prison,murder/manslaughter,88,0.1308
1,pretrial,prison,murder/manslaughter,89,0.1308
1,pretrial,prison,murder/manslaughter,90,0
1,pretrial,prison,murder/manslaughter,91,0
1,pretrial,prison,murder/manslaughter,92,0
1,pretrial,prison,murder/manslaughter,93,0
1,pretrial,prison,murder/manslaughter,94,0
1,pretrial,prison,Other,55,24.94
1,pretrial,prison,Other,56,24.94
1,pretrial,prison,Other,57,24.94
1,pretrial,prison,Other,58,24.94
1,pretrial,prison,Other,59,24.94
1,pretrial,prison,Other,60,12.7796
1,pretrial,prison,Other,61,12.7796
1,pretrial,prison,Other,62,12.7796
1,pretrial,prison,Other,63,12.7796
1,pretrial,prison,Other,64,12.7796
1,pretrial,prison,Other,65,4.6784
1,pretrial,prison,Other,66,4.6784
1,pretrial,prison,Other,67,4.6784
1,pretrial,prison,Other,68,4.6784
1,pretrial,prison,Other,69,4.6784
1,pretrial,prison,Other,70,1.6684
1,pretrial,prison,Other,71,1.6684
1,pretrial,prison,Other,72,1.6684
1,pretrial,prison,Other,73,1.6684
1,pretrial,prison,Other,74,1.6684
1,pretrial,prison,Other,75,0.4988
1,pretrial,prison,Other,76,0.4988
1,pretrial,prison,Other,77,0.4988
1,pretrial,prison,Other,78,0.4988
1,pretrial,prison,Other,79,0.4988
1,pretrial,prison,Other,80,0.1548
1,pretrial,prison,Other,81,0.1548
1,pretrial,prison,Other,82,0.1548
1,pretrial,prison,Other,83,0.1548
1,pretrial,prison,Other,84,0.1548
1,pretrial,prison,Other,85,0.0258
1,pretrial,prison,Other,86,0.0258
1,pretrial,prison,Other,87,0.0258
1,pretrial,prison,Other,88,0.0258
1,pretrial,prison,Other,89,0.0258
1,pretrial,prison,Other,90,0
1,pretrial,prison,Other,91,0
1,pretrial,prison,Other,92,0
1,pretrial,prison,Other,93,0
1,pretrial,prison,Other,94,0
1,pretrial,prison,Robbery,55,55.1
1,pretrial,prison,Robbery,56,55.1
1,pretrial,prison,Robbery,57,55.1
1,pretrial,prison,Robbery,58,55.1
1,pretrial,prison,Robbery,59,55.1
1,pretrial,prison,Robbery,60,28.234
1,pretrial,prison,Robbery,61,28.234
1,pretrial,prison,Robbery,62,28.234
1,pretrial,prison,Robbery,63,28.234
1,pretrial,prison,Robbery,64,28.234
1,pretrial,prison,Robbery,65,10.336
1,pretrial,prison,Robbery,66,10.336
1,pretrial,prison,Robbery,67,10.336
1,pretrial,prison,Robbery,68,10.336
1,pretrial,prison,Robbery,69,10.336
1,pretrial,prison,Robbery,70,3.686
1,pretrial,prison,Robbery,71,3.686
1,pretrial,prison,Robbery,72,3.686
1,pretrial,prison,Robbery,73,3.686
1,pretrial,prison,Robbery,74,3.686
1,pretrial,prison,Robbery,75,1.102
1,pretrial,prison,Robbery,76,1.102
1,pretrial,prison,Robbery,77,1.102
1,pretrial,prison,Robbery,78,1.102
1,pretrial,prison,Robbery,79,1.102
1,pretrial,prison,Robbery,80,0.342
1,pretrial,prison,Robbery,81,0.342
1,pretrial,prison,Robbery,82,0.342
1,pretrial,prison,Robbery,83,0.342
1,pretrial,prison,Robbery,84,0.342
1,pretrial,prison,Robbery,85,0.057
1,pretrial,prison,Robbery,86,0.057
1,pretrial,prison,Robbery,87,0.057
1,pretrial,prison,Robbery,88,0.057
1,pretrial,prison,Robbery,89,0.057
1,pretrial,prison,Robbery,90,0
1,pretrial,prison,Robbery,91,0
1,pretrial,prison,Robbery,92,0
1,pretrial,prison,Robbery,93,0
1,pretrial,prison,Robbery,94,0
1,pretrial,prison,Sexual offenses,55,128.76
1,pretrial,prison,Sexual offenses,56,128.76
1,pretrial,prison,Sexual offenses,57,128.76
1,pretrial,prison,Sexual offenses,58,128.76
1,pretrial,prison,Sexual offenses,59,128.76
1,pretrial,prison,Sexual offenses,60,65.9784
1,pretrial,prison,Sexual offenses,61,65.9784
1,pretrial,prison,Sexual offenses,62,65.9784
1,pretrial,prison,Sexual offenses,63,65.9784
1,pretrial,prison,Sexual offenses,64,65.9784
1,pretrial,prison,Sexual offenses,65,24.1536
1,pretrial,prison,Sexual offenses,66,24.1536
1,pretrial,prison,Sexual offenses,67,24.1536
1,pretrial,prison,Sexual offenses,68,24.1536
1,pretrial,prison,Sexual offenses,69,24.1536
1,pretrial,prison,Sexual offenses,70,8.6136
1,pretrial,prison,Sexual offenses,71,8.6136
1,pretrial,prison,Sexual offenses,72,8.6136
1,pretrial,prison,Sexual offenses,73,8.6136
1,pretrial,prison,Sexual offenses,74,8.6136
1,pretrial,prison,Sexual offenses,75,2.5752
1,pretrial,prison,Sexual offenses,76,2.5752
1,pretrial,prison,Sexual offenses,77,2.5752
1,pretrial,prison,Sexual offenses,78,2.5752
1,pretrial,prison,Sexual offenses,79,2.5752
1,pretrial,prison,Sexual offenses,80,0.7992
1,pretrial,prison,Sexual offenses,81,0.7992
1,pretrial,prison,Sexual offenses,82,0.7992
1,pretrial,prison,Sexual offenses,83,0.7992
1,pretrial,prison,Sexual offenses,84,0.7992
1,pretrial,prison,Sexual offenses,85,0.1332
1,pretrial,prison,Sexual offenses,86,0.1332
1,pretrial,prison,Sexual offenses,87,0.1332
1,pretrial,prison,Sexual offenses,88,0.1332
1,pretrial,prison,Sexual offenses,89,0.1332
1,pretrial,prison,Sexual offenses,90,0
1,pretrial,prison,Sexual offenses,91,0
1,pretrial,prison,Sexual offenses,92,0
1,pretrial,prison,Sexual offenses,93,0
1,pretrial,prison,Sexual offenses,94,0
1,pretrial,prison,Theft/forgery/fraud,55,37.7
1,pretrial,prison,Theft/forgery/fraud,56,37.7
1,pretrial,prison,Theft/forgery/fraud,57,37.7
1,pretrial,prison,Theft/forgery/fraud,58,37.7
1,pretrial,prison,Theft/forgery/fraud,59,37.7
1,pretrial,prison,Theft/forgery/fraud,60,19.318
1,pretrial,prison,Theft/forgery/fraud,61,19.318
1,pretrial,prison,Theft/forgery/fraud,62,19.318
1,pretrial,prison,Theft/forgery/fraud,63,19.318
1,pretrial,prison,Theft/forgery/fraud,64,19.318
1,pretrial,prison,Theft/forgery/fraud,65,7.072
1,pretrial,prison,Theft/forgery/fraud,66,7.072
1,pretrial,prison,Theft/forgery/fraud,67,7.072
1,pretrial,prison,Theft/forgery/fraud,68,7.072
1,pretrial,prison,Theft/forgery/fraud,69,7.072
1,pretrial,prison,Theft/forgery/fraud,70,2.522
1,pretrial,prison,Theft/forgery/fraud,71,2.522
1,pretrial,prison,Theft/forgery/fraud,72,2.522
1,pretrial,prison,Theft/forgery/fraud,73,2.522
1,pretrial,prison,Theft/forgery/fraud,74,2.522
1,pretrial,prison,Theft/forgery/fraud,75,0.754
1,pretrial,prison,Theft/forgery/fraud,76,0.754
1,pretrial,prison,Theft/forgery/fraud,77,0.754
1,pretrial,prison,Theft/forgery/fraud,78,0.754
1,pretrial,prison,Theft/forgery/fraud,79,0.754
1,pretrial,prison,Theft/forgery/fraud,80,0.234
1,pretrial,prison,Theft/forgery/fraud,81,0.234
1,pretrial,prison,Theft/forgery/fraud,82,0.234
1,pretrial,prison,Theft/forgery/fraud,83,0.234
1,pretrial,prison,Theft/forgery/fraud,84,0.234
1,pretrial,prison,Theft/forgery/fraud,85,0.039
1,pretrial,prison,Theft/forgery/fraud,86,0.039
1,pretrial,prison,Theft/forgery/fraud,87,0.039
1,pretrial,prison,Theft/forgery/fraud,88,0.039
1,pretrial,prison,Theft/forgery/fraud,89,0.039
1,pretrial,prison,Theft/forgery/fraud,90,0
1,pretrial,prison,Theft/forgery/fraud,91,0
1,pretrial,prison,Theft/forgery/fraud,92,0
1,pretrial,prison,Theft/forgery/fraud,93,0
1,pretrial,prison,Theft/forgery/fraud,94,0
1,pretrial,prison,Violent personal,55,58.58
1,pretrial,prison,Violent personal,56,58.58
1,pretrial,prison,Violent personal,57,58.58
1,pretrial,prison,Violent personal,58,58.58
1,pretrial,prison,Violent personal,59,58.58
1,pretrial,prison,Violent personal,60,30.0172
1,pretrial,prison,Violent personal,61,30.0172
1,pretrial,prison,Violent personal,62,30.0172
1,pretrial,prison,Violent personal,63,30.0172
1,pretrial,prison,Violent personal,64,30.0172
1,pretrial,prison,Violent personal,65,10.9888
1,pretrial,prison,Violent personal,66,10.9888
1,pretrial,prison,Violent personal,67,10.9888
1,pretrial,prison,Violent personal,68,10.9888
1,pretrial,prison,Violent personal,69,10.9888
1,pretrial,prison,Violent personal,70,3.9188
1,pretrial,prison,Violent personal,71,3.9188
1,pretrial,prison,Violent personal,72,3.9188
1,pretrial,prison,Violent personal,73,3.9188
1,pretrial,prison,Violent personal,74,3.9188
1,pretrial,prison,Violent personal,75,1.1716
1,pretrial,prison,Violent personal,76,1.1716
1,pretrial,prison,Violent personal,77,1.1716
1,pretrial,prison,Violent personal,78,1.1716
1,pretrial,prison,Violent personal,79,1.1716
1,pretrial,prison,Violent personal,80,0.3636
1,pretrial,prison,Violent personal,81,0.3636
1,pretrial,prison,Violent personal,82,0.3636
1,pretrial,prison,Violent personal,83,0.3636
1,pretrial,prison,Violent personal,84,0.3636
1,pretrial,prison,Violent personal,85,0.0606
1,pretrial,prison,Violent personal,86,0.0606
1,pretrial,prison,Violent personal,87,0.0606
1,pretrial,prison,Violent personal,88,0.0606
1,pretrial,prison,Violent personal,89,0.0606
1,pretrial,prison,Violent personal,90,0
1,pretrial,prison,Violent personal,91,0
1,pretrial,prison,Violent personal,92,0
1,pretrial,prison,Violent personal,93,0
1,pretrial,prison,Violent personal,94,0
1,pretrial,prison,Weapons,55,13.34
1,pretrial,prison,Weapons,56,13.34
1,pretrial,prison,Weapons,57,13.34
1,pretrial,prison,Weapons,58,13.34
1,pretrial,prison,Weapons,59,13.34
1,pretrial,prison,Weapons,60,6.8356
1,pretrial,prison,Weapons,61,6.8356
1,pretrial,prison,Weapons,62,6.8356
1,pretrial,prison,Weapons,63,6.8356
1,pretrial,prison,Weapons,64,6.8356
1,pretrial,prison,Weapons,65,2.5024
1,pretrial,prison,Weapons,66,2.5024
1,pretrial,prison,Weapons,67,2.5024
1,pretrial,prison,Weapons,68,2.5024
1,pretrial,prison,Weapons,69,2.5024
1,pretrial,prison,Weapons,70,0.8924
1,pretrial,prison,Weapons,71,0.8924
1,pretrial,prison,Weapons,72,0.8924
1,pretrial,prison,Weapons,73,0.8924
1,pretrial,prison,Weapons,74,0.8924
1,pretrial,prison,Weapons,75,0.2668
1,pretrial,prison,Weapons,76,0.2668
1,pretrial,prison,Weapons,77,0.2668
1,pretrial,prison,Weapons,78,0.2668
1,pretrial,prison,Weapons,79,0.2668
1,pretrial,prison,Weapons,80,0.0828
1,pretrial,prison,Weapons,81,0.0828
1,pretrial,prison,Weapons,82,0.0828
1,pretrial,prison,Weapons,83,0.0828
1,pretrial,prison,Weapons,84,0.0828
1,pretrial,prison,Weapons,85,0.0138
1,pretrial,prison,Weapons,86,0.0138
1,pretrial,prison,Weapons,87,0.0138
1,pretrial,prison,Weapons,88,0.0138
1,pretrial,prison,Weapons,89,0.0138
1,pretrial,prison,Weapons,90,0
