crime;admissions;releases;total
arson;50;55;142
assault;2,394;2,239;5,593
auto_theft;948;838;1,939
burglary_or_criminal_trespass;1,524;1,630;3,005
child_or_adult_abuse;162;152;304
child_molestation;191;160;1,769
criminal_damage;153;136;182
domestic_violence;184;202;148
drug_possession;4,045;3,556;3,958
drug_trafficking;1,724;2,443;5,023
dui;1,186;1,305;1,457
escape;104;110;156
forgery;275;331;358
fraud;113;91;309
identity_theft;186;151;395
kidnapping;216;233;1,342
manslaughter_or_neg_homicide;113;111;757
murder;162;142;3,097
other;990;991;1,551
rape_or_sexual_assault;80;73;573
robbery;873;872;3,571
sex_offense;640;560;2,857
theft;804;867;1,002
trafficking_in_stolen_property;302;328;695
weapons_offense;944;872;1,930
