year,state_name,state_abbr,state_fips,sex,n,geoid
2006,Ohio,OH,39,Female,4531490,0400000US39
2007,Ohio,OH,39,Female,4550917,0400000US39
2008,Ohio,OH,39,Female,4565180,0400000US39
2009,Ohio,OH,39,Female,4581608,0400000US39
2010,Ohio,OH,39,Female,4574097,0400000US39
2011,Ohio,OH,39,Female,4588192,0400000US39
2012,Ohio,OH,39,Female,4598590,0400000US39
2013,Ohio,OH,39,Female,4615603,0400000US39
2014,Ohio,OH,39,Female,4631489,0400000US39
2015,Ohio,OH,39,Female,4642018,0400000US39
2016,Ohio,OH,39,Female,4654921,0400000US39
2017,Ohio,OH,39,Female,4671530,0400000US39
2018,Ohio,OH,39,Female,4685832,0400000US39
2019,Ohio,OH,39,Female,4697971,0400000US39
2020,Ohio,OH,39,Female,4692337,0400000US39
2021,Ohio,OH,39,Female,4686251,0400000US39
2022,Ohio,OH,39,Female,4693871,0400000US39
2023,Ohio,OH,39,Female,4713485,0400000US39
2000,Ohio,OH,39,Male,4041598,0400000US39
2001,Ohio,OH,39,Male,4065156,0400000US39
2002,Ohio,OH,39,Male,4089168,0400000US39
2003,Ohio,OH,39,Male,4116381,0400000US39
2004,Ohio,OH,39,Male,4137191,0400000US39
2005,Ohio,OH,39,Male,4156178,0400000US39
2006,Ohio,OH,39,Male,4178391,0400000US39
2007,Ohio,OH,39,Male,4203840,0400000US39
2008,Ohio,OH,39,Male,4224262,0400000US39
2009,Ohio,OH,39,Male,4246696,0400000US39
2010,Ohio,OH,39,Male,4242091,0400000US39
2011,Ohio,OH,39,Male,4262132,0400000US39
2012,Ohio,OH,39,Male,4281714,0400000US39
2013,Ohio,OH,39,Male,4307242,0400000US39
2014,Ohio,OH,39,Male,4328623,0400000US39
2015,Ohio,OH,39,Male,4344526,0400000US39
2016,Ohio,OH,39,Male,4361638,0400000US39
2017,Ohio,OH,39,Male,4380124,0400000US39
2018,Ohio,OH,39,Male,4396967,0400000US39
2019,Ohio,OH,39,Male,4413110,0400000US39
2020,Ohio,OH,39,Male,4473558,0400000US39
2021,Ohio,OH,39,Male,4466905,0400000US39
2022,Ohio,OH,39,Male,4473633,0400000US39
2023,Ohio,OH,39,Male,4494196,0400000US39
2000,Oklahoma,OK,40,Female,1321874,0400000US40
2001,Oklahoma,OK,40,Female,1328150,0400000US40
2002,Oklahoma,OK,40,Female,1336685,0400000US40
2003,Oklahoma,OK,40,Female,1346628,0400000US40
2004,Oklahoma,OK,40,Female,1352075,0400000US40
2005,Oklahoma,OK,40,Female,1360764,0400000US40
2006,Oklahoma,OK,40,Female,1377030,0400000US40
2007,Oklahoma,OK,40,Female,1389165,0400000US40
2008,Oklahoma,OK,40,Female,1402704,0400000US40
2009,Oklahoma,OK,40,Female,1417537,0400000US40
2010,Oklahoma,OK,40,Female,1445204,0400000US40
2011,Oklahoma,OK,40,Female,1456846,0400000US40
2012,Oklahoma,OK,40,Female,1468539,0400000US40
2013,Oklahoma,OK,40,Female,1480871,0400000US40
2014,Oklahoma,OK,40,Female,1490080,0400000US40
2015,Oklahoma,OK,40,Female,1502273,0400000US40
2016,Oklahoma,OK,40,Female,1510623,0400000US40
2017,Oklahoma,OK,40,Female,1514974,0400000US40
2018,Oklahoma,OK,40,Female,1521703,0400000US40
2019,Oklahoma,OK,40,Female,1531208,0400000US40
2020,Oklahoma,OK,40,Female,1519326,0400000US40
2021,Oklahoma,OK,40,Female,1533285,0400000US40
2022,Oklahoma,OK,40,Female,1547747,0400000US40
2023,Oklahoma,OK,40,Female,1565330,0400000US40
2000,Oklahoma,OK,40,Male,1240175,0400000US40
2001,Oklahoma,OK,40,Male,1251077,0400000US40
2002,Oklahoma,OK,40,Male,1262437,0400000US40
2003,Oklahoma,OK,40,Male,1267262,0400000US40
2004,Oklahoma,OK,40,Male,1281133,0400000US40
2005,Oklahoma,OK,40,Male,1288079,0400000US40
2006,Oklahoma,OK,40,Male,1304647,0400000US40
2007,Oklahoma,OK,40,Male,1320916,0400000US40
2008,Oklahoma,OK,40,Male,1333833,0400000US40
2009,Oklahoma,OK,40,Male,1350664,0400000US40
2010,Oklahoma,OK,40,Male,1383135,0400000US40
2011,Oklahoma,OK,40,Male,1395271,0400000US40
2012,Oklahoma,OK,40,Male,1409448,0400000US40
2013,Oklahoma,OK,40,Male,1423214,0400000US40
2014,Oklahoma,OK,40,Male,1433276,0400000US40
2015,Oklahoma,OK,40,Male,1445924,0400000US40
2016,Oklahoma,OK,40,Male,1453664,0400000US40
2017,Oklahoma,OK,40,Male,1457905,0400000US40
2018,Oklahoma,OK,40,Male,1463969,0400000US40
2019,Oklahoma,OK,40,Male,1473525,0400000US40
2020,Oklahoma,OK,40,Male,1482913,0400000US40
2021,Oklahoma,OK,40,Male,1495043,0400000US40
2022,Oklahoma,OK,40,Male,1506006,0400000US40
2023,Oklahoma,OK,40,Male,1521887,0400000US40
2000,Oregon,OR,41,Female,1316149,0400000US41
2001,Oregon,OR,41,Female,1334595,0400000US41
2002,Oregon,OR,41,Female,1356555,0400000US41
2003,Oregon,OR,41,Female,1373418,0400000US41
2004,Oregon,OR,41,Female,1386594,0400000US41
2005,Oregon,OR,41,Female,1407579,0400000US41
2006,Oregon,OR,41,Female,1434103,0400000US41
2007,Oregon,OR,41,Female,1459232,0400000US41
2008,Oregon,OR,41,Female,1482434,0400000US41
2009,Oregon,OR,41,Female,1501603,0400000US41
2010,Oregon,OR,41,Female,1515955,0400000US41
2011,Oregon,OR,41,Female,1534186,0400000US41
2012,Oregon,OR,41,Female,1548928,0400000US41
2013,Oregon,OR,41,Female,1562176,0400000US41
2014,Oregon,OR,41,Female,1581140,0400000US41
2015,Oregon,OR,41,Female,1605646,0400000US41
2016,Oregon,OR,41,Female,1639030,0400000US41
2017,Oregon,OR,41,Female,1664180,0400000US41
2018,Oregon,OR,41,Female,1684777,0400000US41
2019,Oregon,OR,41,Female,1704264,0400000US41
2020,Oregon,OR,41,Female,1702461,0400000US41
2021,Oregon,OR,41,Female,1714111,0400000US41
2022,Oregon,OR,41,Female,1714527,0400000US41
2023,Oregon,OR,41,Female,1719473,0400000US41
2000,Oregon,OR,41,Male,1266902,0400000US41
2001,Oregon,OR,41,Male,1285618,0400000US41
2002,Oregon,OR,41,Male,1307687,0400000US41
2003,Oregon,OR,41,Male,1324619,0400000US41
2004,Oregon,OR,41,Male,1338070,0400000US41
2005,Oregon,OR,41,Male,1358391,0400000US41
2006,Oregon,OR,41,Male,1382901,0400000US41
2007,Oregon,OR,41,Male,1407371,0400000US41
2008,Oregon,OR,41,Male,1429971,0400000US41
2009,Oregon,OR,41,Male,1451243,0400000US41
2010,Oregon,OR,41,Male,1455510,0400000US41
2011,Oregon,OR,41,Male,1473164,0400000US41
2012,Oregon,OR,41,Male,1489026,0400000US41
2013,Oregon,OR,41,Male,1502507,0400000US41
2014,Oregon,OR,41,Male,1522107,0400000US41
2015,Oregon,OR,41,Male,1546881,0400000US41
2016,Oregon,OR,41,Male,1580715,0400000US41
2017,Oregon,OR,41,Male,1607073,0400000US41
2018,Oregon,OR,41,Male,1628034,0400000US41
2019,Oregon,OR,41,Male,1646911,0400000US41
2020,Oregon,OR,41,Male,1669835,0400000US41
2021,Oregon,OR,41,Male,1681201,0400000US41
2022,Oregon,OR,41,Male,1679057,0400000US41
2023,Oregon,OR,41,Male,1682055,0400000US41
2000,Pennsylvania,PA,42,Female,4931750,0400000US42
2001,Pennsylvania,PA,42,Female,4941479,0400000US42
2002,Pennsylvania,PA,42,Female,4954612,0400000US42
2003,Pennsylvania,PA,42,Female,4970293,0400000US42
2004,Pennsylvania,PA,42,Female,4986337,0400000US42
2005,Pennsylvania,PA,42,Female,5003647,0400000US42
2006,Pennsylvania,PA,42,Female,5028706,0400000US42
2007,Pennsylvania,PA,42,Female,5055538,0400000US42
2008,Pennsylvania,PA,42,Female,5084955,0400000US42
2009,Pennsylvania,PA,42,Female,5109679,0400000US42
2010,Pennsylvania,PA,42,Female,5155352,0400000US42
2011,Pennsylvania,PA,42,Female,5178841,0400000US42
2012,Pennsylvania,PA,42,Female,5194685,0400000US42
2013,Pennsylvania,PA,42,Female,5203941,0400000US42
2014,Pennsylvania,PA,42,Female,5214765,0400000US42
2015,Pennsylvania,PA,42,Female,5215734,0400000US42
2016,Pennsylvania,PA,42,Female,5217974,0400000US42
2017,Pennsylvania,PA,42,Female,5224430,0400000US42
2018,Pennsylvania,PA,42,Female,5235248,0400000US42
2019,Pennsylvania,PA,42,Female,5241328,0400000US42
2020,Pennsylvania,PA,42,Female,5270799,0400000US42
2021,Pennsylvania,PA,42,Female,5293033,0400000US42
2022,Pennsylvania,PA,42,Female,5285335,0400000US42
2023,Pennsylvania,PA,42,Female,5291221,0400000US42
2000,Pennsylvania,PA,42,Male,4435359,0400000US42
2001,Pennsylvania,PA,42,Male,4456077,0400000US42
2002,Pennsylvania,PA,42,Male,4483882,0400000US42
2003,Pennsylvania,PA,42,Male,4515710,0400000US42
2004,Pennsylvania,PA,42,Male,4543573,0400000US42
2005,Pennsylvania,PA,42,Male,4572899,0400000US42
2006,Pennsylvania,PA,42,Male,4612307,0400000US42
2007,Pennsylvania,PA,42,Male,4649749,0400000US42
2008,Pennsylvania,PA,42,Male,4685622,0400000US42
2009,Pennsylvania,PA,42,Male,4719956,0400000US42
2010,Pennsylvania,PA,42,Male,4769384,0400000US42
2011,Pennsylvania,PA,42,Male,4803172,0400000US42
2012,Pennsylvania,PA,42,Male,4832343,0400000US42
2013,Pennsylvania,PA,42,Male,4854310,0400000US42
2014,Pennsylvania,PA,42,Male,4870285,0400000US42
2015,Pennsylvania,PA,42,Male,4879443,0400000US42
2016,Pennsylvania,PA,42,Male,4889058,0400000US42
2017,Pennsylvania,PA,42,Male,4898936,0400000US42
2018,Pennsylvania,PA,42,Male,4915053,0400000US42
2019,Pennsylvania,PA,42,Male,4926048,0400000US42
2020,Pennsylvania,PA,42,Male,5022629,0400000US42
2021,Pennsylvania,PA,42,Male,5041978,0400000US42
2022,Pennsylvania,PA,42,Male,5034090,0400000US42
2023,Pennsylvania,PA,42,Male,5041457,0400000US42
2000,Rhode Island,RI,44,Female,425113,0400000US44
2001,Rhode Island,RI,44,Female,428196,0400000US44
2002,Rhode Island,RI,44,Female,431361,0400000US44
2003,Rhode Island,RI,44,Female,433826,0400000US44
2004,Rhode Island,RI,44,Female,433614,0400000US44
2005,Rhode Island,RI,44,Female,432067,0400000US44
2006,Rhode Island,RI,44,Female,430960,0400000US44
2007,Rhode Island,RI,44,Female,429991,0400000US44
2008,Rhode Island,RI,44,Female,430432,0400000US44
2009,Rhode Island,RI,44,Female,431172,0400000US44
2010,Rhode Island,RI,44,Female,435639,0400000US44
2011,Rhode Island,RI,44,Female,436422,0400000US44
2012,Rhode Island,RI,44,Female,437955,0400000US44
2013,Rhode Island,RI,44,Female,439010,0400000US44
2014,Rhode Island,RI,44,Female,440062,0400000US44
2015,Rhode Island,RI,44,Female,440377,0400000US44
2016,Rhode Island,RI,44,Female,441125,0400000US44
2017,Rhode Island,RI,44,Female,441461,0400000US44
2018,Rhode Island,RI,44,Female,442797,0400000US44
2019,Rhode Island,RI,44,Female,443824,0400000US44
2020,Rhode Island,RI,44,Female,455864,0400000US44
2021,Rhode Island,RI,44,Female,457548,0400000US44
2022,Rhode Island,RI,44,Female,456956,0400000US44
2023,Rhode Island,RI,44,Female,458746,0400000US44
2000,Rhode Island,RI,44,Male,377422,0400000US44
2001,Rhode Island,RI,44,Male,381380,0400000US44
2002,Rhode Island,RI,44,Male,385808,0400000US44
2003,Rhode Island,RI,44,Male,389288,0400000US44
2004,Rhode Island,RI,44,Male,391528,0400000US44
2005,Rhode Island,RI,44,Male,391033,0400000US44
2006,Rhode Island,RI,44,Male,391889,0400000US44
2007,Rhode Island,RI,44,Male,391476,0400000US44
2008,Rhode Island,RI,44,Male,393282,0400000US44
2009,Rhode Island,RI,44,Male,395212,0400000US44
2010,Rhode Island,RI,44,Male,394831,0400000US44
2011,Rhode Island,RI,44,Male,396692,0400000US44
2012,Rhode Island,RI,44,Male,399161,0400000US44
2013,Rhode Island,RI,44,Male,401265,0400000US44
2014,Rhode Island,RI,44,Male,403477,0400000US44
2015,Rhode Island,RI,44,Male,405095,0400000US44
2016,Rhode Island,RI,44,Male,406663,0400000US44
2017,Rhode Island,RI,44,Male,407361,0400000US44
2018,Rhode Island,RI,44,Male,409508,0400000US44
2019,Rhode Island,RI,44,Male,411042,0400000US44
2020,Rhode Island,RI,44,Male,428914,0400000US44
2021,Rhode Island,RI,44,Male,430963,0400000US44
2022,Rhode Island,RI,44,Male,431119,0400000US44
2023,Rhode Island,RI,44,Male,433378,0400000US44
2000,South Carolina,SC,45,Female,1574670,0400000US45
2001,South Carolina,SC,45,Female,1592651,0400000US45
2002,South Carolina,SC,45,Female,1611104,0400000US45
2003,South Carolina,SC,45,Female,1631793,0400000US45
2004,South Carolina,SC,45,Female,1654775,0400000US45
2005,South Carolina,SC,45,Female,1679214,0400000US45
2006,South Carolina,SC,45,Female,1714299,0400000US45
2007,South Carolina,SC,45,Female,1749154,0400000US45
2008,South Carolina,SC,45,Female,1785291,0400000US45
2009,South Carolina,SC,45,Female,1812571,0400000US45
2010,South Carolina,SC,45,Female,1851435,0400000US45
2011,South Carolina,SC,45,Female,1873036,0400000US45
2012,South Carolina,SC,45,Female,1896051,0400000US45
2013,South Carolina,SC,45,Female,1919711,0400000US45
2014,South Carolina,SC,45,Female,1948126,0400000US45
2015,South Carolina,SC,45,Female,1979482,0400000US45
2016,South Carolina,SC,45,Female,2011457,0400000US45
2017,South Carolina,SC,45,Female,2042793,0400000US45
2018,South Carolina,SC,45,Female,2076051,0400000US45
2019,South Carolina,SC,45,Female,2109538,0400000US45
2020,South Carolina,SC,45,Female,2084149,0400000US45
2021,South Carolina,SC,45,Female,2115949,0400000US45
2022,South Carolina,SC,45,Female,2158434,0400000US45
2023,South Carolina,SC,45,Female,2201225,0400000US45
2000,South Carolina,SC,45,Male,1438295,0400000US45
2001,South Carolina,SC,45,Male,1454033,0400000US45
2002,South Carolina,SC,45,Male,1472507,0400000US45
2003,South Carolina,SC,45,Male,1490316,0400000US45
2004,South Carolina,SC,45,Male,1517531,0400000US45
2005,South Carolina,SC,45,Male,1540163,0400000US45
2006,South Carolina,SC,45,Male,1574998,0400000US45
2007,South Carolina,SC,45,Male,1609228,0400000US45
2008,South Carolina,SC,45,Male,1642740,0400000US45
2009,South Carolina,SC,45,Male,1667939,0400000US45
2010,South Carolina,SC,45,Male,1704739,0400000US45
2011,South Carolina,SC,45,Male,1722985,0400000US45
2012,South Carolina,SC,45,Male,1745036,0400000US45
2013,South Carolina,SC,45,Male,1766899,0400000US45
2014,South Carolina,SC,45,Male,1792331,0400000US45
2015,South Carolina,SC,45,Male,1820941,0400000US45
2016,South Carolina,SC,45,Male,1848703,0400000US45
2017,South Carolina,SC,45,Male,1874695,0400000US45
2018,South Carolina,SC,45,Male,1901055,0400000US45
2019,South Carolina,SC,45,Male,1927993,0400000US45
2020,South Carolina,SC,45,Male,1929194,0400000US45
2021,South Carolina,SC,45,Male,1955173,0400000US45
2022,South Carolina,SC,45,Male,1989850,0400000US45
2023,South Carolina,SC,45,Male,2028129,0400000US45
2000,South Dakota,SD,46,Female,281990,0400000US46
2001,South Dakota,SD,46,Female,284280,0400000US46
2002,South Dakota,SD,46,Female,286587,0400000US46
2003,South Dakota,SD,46,Female,289174,0400000US46
2004,South Dakota,SD,46,Female,292657,0400000US46
2005,South Dakota,SD,46,Female,295509,0400000US46
2006,South Dakota,SD,46,Female,299329,0400000US46
2007,South Dakota,SD,46,Female,303066,0400000US46
2008,South Dakota,SD,46,Female,306323,0400000US46
2009,South Dakota,SD,46,Female,308988,0400000US46
2010,South Dakota,SD,46,Female,308807,0400000US46
2011,South Dakota,SD,46,Female,311025,0400000US46
2012,South Dakota,SD,46,Female,314450,0400000US46
2013,South Dakota,SD,46,Female,317422,0400000US46
2014,South Dakota,SD,46,Female,319650,0400000US46
2015,South Dakota,SD,46,Female,321063,0400000US46
2016,South Dakota,SD,46,Female,323995,0400000US46
2017,South Dakota,SD,46,Female,327264,0400000US46
2018,South Dakota,SD,46,Female,329761,0400000US46
2019,South Dakota,SD,46,Female,332162,0400000US46
2020,South Dakota,SD,46,Female,330047,0400000US46
2021,South Dakota,SD,46,Female,333735,0400000US46
2022,South Dakota,SD,46,Female,339467,0400000US46
2023,South Dakota,SD,46,Female,343636,0400000US46
2000,South Dakota,SD,46,Male,271159,0400000US46
2001,South Dakota,SD,46,Male,273884,0400000US46
2002,South Dakota,SD,46,Male,276794,0400000US46
2003,South Dakota,SD,46,Male,280686,0400000US46
2004,South Dakota,SD,46,Male,285087,0400000US46
2005,South Dakota,SD,46,Male,288189,0400000US46
2006,South Dakota,SD,46,Male,292162,0400000US46
2007,South Dakota,SD,46,Male,295871,0400000US46
2008,South Dakota,SD,46,Male,299627,0400000US46
2009,South Dakota,SD,46,Male,303779,0400000US46
2010,South Dakota,SD,46,Male,304150,0400000US46
2011,South Dakota,SD,46,Male,308519,0400000US46
2012,South Dakota,SD,46,Male,313568,0400000US46
2013,South Dakota,SD,46,Male,317082,0400000US46
2014,South Dakota,SD,46,Male,319725,0400000US46
2015,South Dakota,SD,46,Male,321645,0400000US46
2016,South Dakota,SD,46,Male,325285,0400000US46
2017,South Dakota,SD,46,Male,329639,0400000US46
2018,South Dakota,SD,46,Male,332515,0400000US46
2019,South Dakota,SD,46,Male,335396,0400000US46
2020,South Dakota,SD,46,Male,338702,0400000US46
2021,South Dakota,SD,46,Male,342778,0400000US46
2022,South Dakota,SD,46,Male,349013,0400000US46
2023,South Dakota,SD,46,Male,353784,0400000US46
2000,Tennessee,TN,47,Female,2245405,0400000US47
2001,Tennessee,TN,47,Female,2265895,0400000US47
2002,Tennessee,TN,47,Female,2286933,0400000US47
2003,Tennessee,TN,47,Female,2311208,0400000US47
2004,Tennessee,TN,47,Female,2333241,0400000US47
2005,Tennessee,TN,47,Female,2365205,0400000US47
2006,Tennessee,TN,47,Female,2405824,0400000US47
2007,Tennessee,TN,47,Female,2437940,0400000US47
2008,Tennessee,TN,47,Female,2470209,0400000US47
2009,Tennessee,TN,47,Female,2495225,0400000US47
2010,Tennessee,TN,47,Female,2527256,0400000US47
2011,Tennessee,TN,47,Female,2551002,0400000US47
2012,Tennessee,TN,47,Female,2577218,0400000US47
2013,Tennessee,TN,47,Female,2597285,0400000US47
2014,Tennessee,TN,47,Female,2618842,0400000US47
2015,Tennessee,TN,47,Female,2642171,0400000US47
2016,Tennessee,TN,47,Female,2667933,0400000US47
2017,Tennessee,TN,47,Female,2696850,0400000US47
2018,Tennessee,TN,47,Female,2727831,0400000US47
2019,Tennessee,TN,47,Female,2757417,0400000US47
2020,Tennessee,TN,47,Female,2764800,0400000US47
2021,Tennessee,TN,47,Female,2787683,0400000US47
2022,Tennessee,TN,47,Female,2826901,0400000US47
2023,Tennessee,TN,47,Female,2863512,0400000US47
2000,Tennessee,TN,47,Male,2058295,0400000US47
2001,Tennessee,TN,47,Male,2082018,0400000US47
2002,Tennessee,TN,47,Male,2102285,0400000US47
2003,Tennessee,TN,47,Male,2122236,0400000US47
2004,Tennessee,TN,47,Male,2152839,0400000US47
2005,Tennessee,TN,47,Male,2183744,0400000US47
2006,Tennessee,TN,47,Male,2216615,0400000US47
2007,Tennessee,TN,47,Male,2255667,0400000US47
2008,Tennessee,TN,47,Male,2279005,0400000US47
2009,Tennessee,TN,47,Male,2307777,0400000US47
2010,Tennessee,TN,47,Male,2333352,0400000US47
2011,Tennessee,TN,47,Male,2356845,0400000US47
2012,Tennessee,TN,47,Male,2384910,0400000US47
2013,Tennessee,TN,47,Male,2404961,0400000US47
2014,Tennessee,TN,47,Male,2427370,0400000US47
2015,Tennessee,TN,47,Male,2449865,0400000US47
2016,Tennessee,TN,47,Male,2475229,0400000US47
2017,Tennessee,TN,47,Male,2505431,0400000US47
2018,Tennessee,TN,47,Male,2535454,0400000US47
2019,Tennessee,TN,47,Male,2561706,0400000US47
2020,Tennessee,TN,47,Male,2606646,0400000US47
2021,Tennessee,TN,47,Male,2620107,0400000US47
2022,Tennessee,TN,47,Male,2657380,0400000US47
2023,Tennessee,TN,47,Male,2692249,0400000US47
2000,Texas,TX,48,Female,7661026,0400000US48
2001,Texas,TX,48,Female,7800655,0400000US48
2002,Texas,TX,48,Female,7935439,0400000US48
2003,Texas,TX,48,Female,8068923,0400000US48
2004,Texas,TX,48,Female,8201417,0400000US48
2005,Texas,TX,48,Female,8339423,0400000US48
2006,Texas,TX,48,Female,8544239,0400000US48
2007,Texas,TX,48,Female,8707226,0400000US48
2008,Texas,TX,48,Female,8871348,0400000US48
2009,Texas,TX,48,Female,9038098,0400000US48
2010,Texas,TX,48,Female,9359708,0400000US48
2011,Texas,TX,48,Female,9533306,0400000US48
2012,Texas,TX,48,Female,9718933,0400000US48
2013,Texas,TX,48,Female,9882450,0400000US48
2014,Texas,TX,48,Female,10078809,0400000US48
2015,Texas,TX,48,Female,10279297,0400000US48
2016,Texas,TX,48,Female,10463285,0400000US48
2017,Texas,TX,48,Female,10631546,0400000US48
2018,Texas,TX,48,Female,10793911,0400000US48
2019,Texas,TX,48,Female,10966498,0400000US48
2020,Texas,TX,48,Female,10988912,0400000US48
2021,Texas,TX,48,Female,11159531,0400000US48
2022,Texas,TX,48,Female,11373578,0400000US48
2023,Texas,TX,48,Female,11587666,0400000US48
2000,Texas,TX,48,Male,7376479,0400000US48
2001,Texas,TX,48,Male,7535153,0400000US48
2002,Texas,TX,48,Male,7685146,0400000US48
2003,Texas,TX,48,Male,7813052,0400000US48
2004,Texas,TX,48,Male,7957497,0400000US48
2005,Texas,TX,48,Male,8110823,0400000US48
2006,Texas,TX,48,Male,8307144,0400000US48
2007,Texas,TX,48,Male,8483256,0400000US48
2008,Texas,TX,48,Male,8667107,0400000US48
2009,Texas,TX,48,Male,8848235,0400000US48
2010,Texas,TX,48,Male,9004539,0400000US48
2011,Texas,TX,48,Male,9178605,0400000US48
2012,Texas,TX,48,Male,9374693,0400000US48
2013,Texas,TX,48,Male,9544643,0400000US48
2014,Texas,TX,48,Male,9744127,0400000US48
2015,Texas,TX,48,Male,9951218,0400000US48
2016,Texas,TX,48,Male,10135608,0400000US48
2017,Texas,TX,48,Male,10302064,0400000US48
2018,Texas,TX,48,Male,10458819,0400000US48
2019,Texas,TX,48,Male,10629573,0400000US48
2020,Texas,TX,48,Male,10784031,0400000US48
2021,Texas,TX,48,Male,10943752,0400000US48
2022,Texas,TX,48,Male,11140018,0400000US48
2023,Texas,TX,48,Male,11354510,0400000US48
2000,Utah,UT,49,Female,769389,0400000US49
2001,Utah,UT,49,Female,788469,0400000US49
2002,Utah,UT,49,Female,806079,0400000US49
2003,Utah,UT,49,Female,823477,0400000US49
2004,Utah,UT,49,Female,845079,0400000US49
2005,Utah,UT,49,Female,866930,0400000US49
2006,Utah,UT,49,Female,895268,0400000US49
2007,Utah,UT,49,Female,920844,0400000US49
2008,Utah,UT,49,Female,942280,0400000US49
2009,Utah,UT,49,Female,961406,0400000US49
2010,Utah,UT,49,Female,956005,0400000US49
2011,Utah,UT,49,Female,971440,0400000US49
2012,Utah,UT,49,Female,986796,0400000US49
2013,Utah,UT,49,Female,1003886,0400000US49
2014,Utah,UT,49,Female,1020238,0400000US49
2015,Utah,UT,49,Female,1038444,0400000US49
2016,Utah,UT,49,Female,1062978,0400000US49
2017,Utah,UT,49,Female,1088726,0400000US49
2018,Utah,UT,49,Female,1113059,0400000US49
2019,Utah,UT,49,Female,1138070,0400000US49
2020,Utah,UT,49,Female,1159524,0400000US49
2021,Utah,UT,49,Female,1187813,0400000US49
2022,Utah,UT,49,Female,1210586,0400000US49
2023,Utah,UT,49,Female,1232458,0400000US49
2000,Utah,UT,49,Male,753467,0400000US49
2001,Utah,UT,49,Male,773578,0400000US49
2002,Utah,UT,49,Male,792885,0400000US49
2003,Utah,UT,49,Male,812434,0400000US49
2004,Utah,UT,49,Male,834316,0400000US49
2005,Utah,UT,49,Male,856714,0400000US49
2006,Utah,UT,49,Male,885953,0400000US49
2007,Utah,UT,49,Male,913337,0400000US49
2008,Utah,UT,49,Male,934381,0400000US49
2009,Utah,UT,49,Male,954342,0400000US49
2010,Utah,UT,49,Male,945305,0400000US49
2011,Utah,UT,49,Male,960968,0400000US49
2012,Utah,UT,49,Male,977975,0400000US49
2013,Utah,UT,49,Male,996292,0400000US49
2014,Utah,UT,49,Male,1012826,0400000US49
2015,Utah,UT,49,Male,1032765,0400000US49
2016,Utah,UT,49,Male,1058448,0400000US49
2017,Utah,UT,49,Male,1085208,0400000US49
2018,Utah,UT,49,Male,1110813,0400000US49
2019,Utah,UT,49,Male,1136704,0400000US49
2020,Utah,UT,49,Male,1174730,0400000US49
2021,Utah,UT,49,Male,1203054,0400000US49
2022,Utah,UT,49,Male,1228556,0400000US49
2023,Utah,UT,49,Male,1252124,0400000US49
2000,Vermont,VT,50,Female,239226,0400000US50
2001,Vermont,VT,50,Female,240998,0400000US50
2002,Vermont,VT,50,Female,243037,0400000US50
2003,Vermont,VT,50,Female,245047,0400000US50
2004,Vermont,VT,50,Female,246867,0400000US50
2005,Vermont,VT,50,Female,248308,0400000US50
2006,Vermont,VT,50,Female,250193,0400000US50
2007,Vermont,VT,50,Female,251460,0400000US50
2008,Vermont,VT,50,Female,252829,0400000US50
2009,Vermont,VT,50,Female,254112,0400000US50
2010,Vermont,VT,50,Female,254958,0400000US50
2011,Vermont,VT,50,Female,256199,0400000US50
2012,Vermont,VT,50,Female,256692,0400000US50
2013,Vermont,VT,50,Female,257547,0400000US50
2014,Vermont,VT,50,Female,257726,0400000US50
2015,Vermont,VT,50,Female,258375,0400000US50
2016,Vermont,VT,50,Female,258413,0400000US50
2017,Vermont,VT,50,Female,259422,0400000US50
2018,Vermont,VT,50,Female,260059,0400000US50
2019,Vermont,VT,50,Female,260427,0400000US50
2020,Vermont,VT,50,Female,265896,0400000US50
2021,Vermont,VT,50,Female,268751,0400000US50
2022,Vermont,VT,50,Female,269514,0400000US50
2023,Vermont,VT,50,Female,270524,0400000US50
2000,Vermont,VT,50,Male,223182,0400000US50
2001,Vermont,VT,50,Male,225652,0400000US50
2002,Vermont,VT,50,Male,228492,0400000US50
2003,Vermont,VT,50,Male,230405,0400000US50
2004,Vermont,VT,50,Male,232352,0400000US50
2005,Vermont,VT,50,Male,234194,0400000US50
2006,Vermont,VT,50,Male,236248,0400000US50
2007,Vermont,VT,50,Male,237901,0400000US50
2008,Vermont,VT,50,Male,239583,0400000US50
2009,Vermont,VT,50,Male,241373,0400000US50
2010,Vermont,VT,50,Male,242129,0400000US50
2011,Vermont,VT,50,Male,243862,0400000US50
2012,Vermont,VT,50,Male,244512,0400000US50
2013,Vermont,VT,50,Male,245604,0400000US50
2014,Vermont,VT,50,Male,245991,0400000US50
2015,Vermont,VT,50,Male,246790,0400000US50
2016,Vermont,VT,50,Male,247053,0400000US50
2017,Vermont,VT,50,Male,248016,0400000US50
2018,Vermont,VT,50,Male,248905,0400000US50
2019,Vermont,VT,50,Male,249557,0400000US50
2020,Vermont,VT,50,Male,258394,0400000US50
2021,Vermont,VT,50,Male,260914,0400000US50
2022,Vermont,VT,50,Male,261397,0400000US50
2023,Vermont,VT,50,Male,262304,0400000US50
2000,Virginia,VA,51,Female,2768089,0400000US51
2001,Virginia,VA,51,Female,2804947,0400000US51
2002,Virginia,VA,51,Female,2843719,0400000US51
2003,Virginia,VA,51,Female,2883372,0400000US51
2004,Virginia,VA,51,Female,2923903,0400000US51
2005,Virginia,VA,51,Female,2963775,0400000US51
2006,Virginia,VA,51,Female,2996574,0400000US51
