fips,year,population
12071,2010,373893
12073,2010,204804
12075,2010,25770
12077,2010,5990
12079,2010,12795
12081,2010,193018
12083,2010,193314
12085,2010,85835
12086,2010,1704670
12087,2010,51605
12089,2010,48345
12091,2010,122305
12093,2010,25434
12095,2010,813767
12097,2010,182614
12099,2010,817023
12101,2010,287643
12103,2010,590001
12105,2010,376982
12107,2010,46351
12109,2010,125361
12111,2010,171553
12113,2010,103628
12115,2010,212964
12117,2010,294161
12119,2010,46018
12121,2010,26648
12123,2010,15350
12125,2010,11482
12127,2010,314021
12129,2010,21797
12131,2010,36774
12133,2010,16601
13001,2010,11928
13003,2010,5444
13005,2010,7207
13007,2010,2245
13009,2010,32316
13011,2010,12285
13013,2010,46473
13015,2010,67233
13017,2010,11262
13019,2010,12574
13021,2010,102888
13023,2010,8728
13025,2010,12161
13027,2010,10572
13029,2010,20333
13031,2010,52073
13033,2010,15150
13035,2010,16343
13037,2010,4776
13039,2010,34705
13043,2010,7065
13045,2010,75063
13047,2010,42212
13049,2010,9143
13051,2010,182403
13053,2010,8083
13055,2010,17304
13057,2010,145489
13059,2010,89839
13061,2010,1949
13063,2010,179743
13065,2010,4389
13067,2010,482582
13069,2010,28790
13071,2010,29179
13073,2010,84247
13075,2010,10970
13077,2010,85611
13079,2010,8599
13081,2010,15093
13083,2010,11350
13085,2010,14926
13087,2010,18085
13089,2010,491128
13091,2010,14745
13093,2010,10201
13095,2010,62669
13097,2010,90367
13099,2010,6841
13101,2010,2654
13103,2010,35397
13105,2010,12851
13107,2010,14645
13109,2010,7080
13111,2010,14729
13113,2010,71480
13115,2010,63169
13117,2010,114976
13119,2010,14266
13121,2010,656667
13123,2010,18120
13125,2010,1942
13127,2010,51723
13129,2010,36484
13131,2010,16075
13133,2010,9845
13135,2010,556827
13137,2010,27781
13139,2010,117610
13141,2010,6622
13143,2010,18713
13145,2010,21763
13147,2010,16031
13149,2010,7819
13151,2010,139185
13153,2010,95040
13155,2010,6165
13157,2010,39936
13159,2010,9234
13161,2010,9669
13163,2010,10891
13165,2010,5191
13167,2010,6834
13169,2010,18948
13171,2010,12567
13173,2010,6669
13175,2010,31239
13177,2010,19518
13179,2010,42611
13181,2010,5265
13183,2010,9712
13185,2010,76166
13187,2010,21267
13189,2010,14122
13191,2010,9385
13193,2010,10234
13195,2010,18824
13197,2010,5818
13199,2010,14081
13201,2010,3810
13205,2010,15504
13207,2010,17691
13209,2010,6213
13211,2010,11482
13213,2010,26452
13215,2010,128468
13217,2010,66380
13219,2010,21781
13221,2010,9890
13223,2010,96570
13225,2010,19380
13227,2010,19052
13229,2010,12077
13231,2010,11746
13233,2010,26563
13235,2010,7922
13237,2010,13475
13239,2010,1511
13241,2010,10104
13243,2010,4885
13245,2010,137326
13247,2010,57715
13249,2010,3118
13251,2010,9499
13253,2010,5417
13255,2010,41904
13257,2010,16894
13259,2010,4508
13261,2010,21761
13263,2010,4585
13265,2010,1094
13267,2010,17987
13269,2010,5751
13271,2010,11520
13273,2010,6156
13275,2010,28784
13277,2010,26388
13279,2010,17116
13281,2010,6088
13283,2010,4476
13285,2010,44161
13287,2010,5756
13289,2010,6037
13291,2010,12526
13293,2010,17636
13295,2010,45113
13297,2010,55163
13299,2010,23664
13301,2010,3636
13303,2010,14181
13305,2010,19985
13307,2010,1775
13309,2010,5666
13311,2010,17346
13313,2010,66685
13315,2010,6491
13317,2010,6478
13319,2010,6105
13321,2010,14185
15001,2010,123374
15003,2010,641462
15005,2010,64
15007,2010,44603
15009,2010,105291
16001,2010,264663
16003,2010,2521
16005,2010,54308
16007,2010,3499
16009,2010,5783
16011,2010,27806
16013,2010,14468
16015,2010,4670
16017,2010,26595
16019,2010,65197
16021,2010,6874
16023,2010,1731
16025,2010,723
16027,2010,118390
16029,2010,4186
16031,2010,13726
16033,2010,597
16035,2010,5536
16037,2010,2858
16039,2010,17879
16041,2010,7346
16043,2010,7995
16045,2010,10215
16047,2010,9332
16049,2010,10090
16051,2010,15783
16053,2010,14062
16055,2010,90452
16057,2010,27585
16059,2010,4914
16061,2010,2285
16063,2010,3236
16065,2010,27031
16067,2010,12280
16069,2010,25266
16071,2010,2519
16073,2010,7097
16075,2010,13850
16077,2010,4859
16079,2010,8064
16081,2010,6875
16083,2010,48865
16085,2010,6522
16087,2010,6053
17001,2010,42651
17003,2010,5237
17005,2010,12110
17007,2010,35018
17009,2010,5164
17011,2010,21967
17013,2010,3169
17015,2010,9572
17017,2010,8721
17019,2010,148768
17021,2010,22379
17023,2010,10346
17025,2010,8746
17027,2010,25397
17029,2010,38180
17031,2010,3562864
17033,2010,13179
17035,2010,7062
17037,2010,75155
17039,2010,10686
17041,2010,12481
17043,2010,625800
17045,2010,11697
17047,2010,4270
17049,2010,22128
17051,2010,14475
17053,2010,8717
17055,2010,25250
17057,2010,24036
17059,2010,3467
17061,2010,8906
17063,2010,33205
17065,2010,5197
17067,2010,11891
17069,2010,2705
17071,2010,4598
17073,2010,32112
17075,2010,18463
17077,2010,44410
17079,2010,6199
17081,2010,25417
17083,2010,15088
17085,2010,13972
17087,2010,8465
17089,2010,341875
17091,2010,74489
17093,2010,76082
17095,2010,34204
17097,2010,473690
17099,2010,73685
17101,2010,11513
17103,2010,24137
17105,2010,25640
17107,2010,20591
17109,2010,23610
17111,2010,209232
17113,2010,120486
17115,2010,71791
17117,2010,30807
17119,2010,180328
17121,2010,25011
17123,2010,7973
17125,2010,9220
17127,2010,9673
17129,2010,8297
17131,2010,10338
17133,2010,21716
17135,2010,19717
17137,2010,23437
17139,2010,9185
17141,2010,34659
17143,2010,123125
17145,2010,15021
17147,2010,10773
17149,2010,10226
17151,2010,2857
17153,2010,3865
17155,2010,3897
17157,2010,22671
17159,2010,10113
17161,2010,96055
17163,2010,180314
17165,2010,15764
17167,2010,131696
17169,2010,4849
17171,2010,3340
17173,2010,14037
17175,2010,3662
17177,2010,29905
17179,2010,87919
17181,2010,11400
17183,2010,52005
17185,2010,7631
17187,2010,11460
17189,2010,9577
17191,2010,10348
