facility_code,facility_name
MCC,Maine Correctional Center
MVCF,Mountain View Correctional Facility
SMWRC,Southern Maine Women's ReEntry Center
BCF,Bolduc Correctional Facility
MSP,Maine State Prison
DCF,Downeast Correctional Facility
CMPRC,Central Maine Pre-Release Center
BPRC,Bangor Pre-Release Center
BWC,Bangor Womens Center
CO,"Central Office, IT"
MVCF,Mountain View Adult Center
MVCF,Charleston Correctional Facility
SMWRC,Southern Maine Pre-Release
