fips,year,population
12071,2010,620449
12073,2010,275971
12075,2010,40720
12077,2010,8349
12079,2010,19248
12081,2010,323424
12083,2010,331331
12085,2010,146909
12086,2010,2506972
12087,2010,73220
12089,2010,73513
12091,2010,180715
12093,2010,40025
12095,2010,1148564
12097,2010,269837
12099,2010,1323619
12101,2010,465487
12103,2010,916412
12105,2010,603102
12107,2010,74220
12109,2010,191249
12111,2010,278264
12113,2010,152908
12115,2010,379930
12117,2010,423051
12119,2010,94278
12121,2010,42328
12123,2010,22595
12125,2010,15542
12127,2010,494440
12129,2010,30825
12131,2010,55217
12133,2010,24720
13001,2010,18334
13003,2010,8364
13005,2010,11062
13007,2010,3431
13009,2010,45704
13011,2010,18410
13013,2010,69676
13015,2010,100050
13017,2010,17645
13019,2010,19361
13021,2010,155814
13023,2010,13036
13025,2010,18479
13027,2010,16246
13029,2010,30377
13031,2010,70559
13033,2010,23336
13035,2010,23786
13037,2010,6697
13039,2010,50661
13043,2010,11025
13045,2010,110655
13047,2010,64069
13049,2010,12853
13051,2010,265799
13053,2010,11182
13055,2010,25959
13057,2010,215197
13059,2010,117403
13061,2010,3177
13063,2010,259877
13065,2010,6764
13067,2010,689495
13069,2010,42728
13071,2010,45634
13073,2010,124955
13075,2010,17185
13077,2010,127937
13079,2010,12587
13081,2010,23433
13083,2010,16630
13085,2010,22328
13087,2010,27817
13089,2010,692443
13091,2010,21761
13093,2010,14854
13095,2010,94513
13097,2010,132573
13099,2010,10983
13101,2010,4015
13103,2010,52464
13105,2010,20100
13107,2010,22607
13109,2010,11021
13111,2010,23685
13113,2010,106938
13115,2010,96431
13117,2010,176723
13119,2010,22074
13121,2010,925632
13123,2010,28339
13125,2010,3079
13127,2010,79744
13129,2010,55257
13131,2010,25021
13133,2010,15976
13135,2010,808007
13137,2010,43061
13139,2010,180033
13141,2010,9433
13143,2010,28758
13145,2010,32149
13147,2010,25240
13149,2010,11841
13151,2010,205039
13153,2010,140651
13155,2010,9577
13157,2010,60696
13159,2010,13889
13161,2010,15111
13163,2010,16869
13165,2010,8320
13167,2010,9986
13169,2010,28646
13171,2010,18265
13173,2010,10104
13175,2010,48384
13177,2010,28414
13179,2010,62765
13181,2010,7970
13183,2010,14574
13185,2010,109689
13187,2010,30282
13189,2010,21803
13191,2010,14311
13193,2010,14645
13195,2010,28212
13197,2010,8741
13199,2010,21818
13201,2010,6133
13205,2010,23502
13207,2010,26179
13209,2010,9144
13211,2010,17901
13213,2010,39533
13215,2010,191101
13217,2010,100133
13219,2010,32925
13221,2010,14899
13223,2010,142837
13225,2010,27857
13227,2010,29436
13229,2010,18815
13231,2010,17922
13233,2010,41547
13235,2010,11969
13237,2010,21191
13239,2010,2512
13241,2010,16277
13243,2010,7668
13245,2010,201115
13247,2010,85354
13249,2010,5020
13251,2010,14501
13253,2010,8727
13255,2010,64096
13257,2010,26117
13259,2010,6102
13261,2010,32684
13263,2010,6880
13265,2010,1703
13267,2010,25475
13269,2010,8777
13271,2010,16518
13273,2010,9526
13275,2010,44747
13277,2010,40251
13279,2010,27244
13281,2010,10535
13283,2010,6894
13285,2010,67054
13287,2010,8910
13289,2010,8973
13291,2010,21370
13293,2010,27054
13295,2010,68870
13297,2010,83992
13299,2010,36308
13301,2010,5782
13303,2010,21093
13305,2010,30074
13307,2010,2781
13309,2010,7769
13311,2010,27203
13313,2010,102745
13315,2010,9314
13317,2010,10388
13319,2010,9529
13321,2010,21692
15001,2010,185363
15003,2010,956285
15005,2010,90
15007,2010,67205
15009,2010,155020
19001,2010,7679
19003,2010,4023
19005,2010,14378
19007,2010,12856
19009,2010,6098
19011,2010,26046
19013,2010,131162
19015,2010,26271
19017,2010,24295
19019,2010,20974
19021,2010,20356
19023,2010,14916
19025,2010,10160
19027,2010,20824
19029,2010,13928
19031,2010,18450
19033,2010,44097
19035,2010,12110
19037,2010,12410
19039,2010,9320
19041,2010,16634
19043,2010,18080
19045,2010,49096
19047,2010,17170
19049,2010,66750
19051,2010,8776
19053,2010,8418
19055,2010,17764
19057,2010,40241
19059,2010,16670
19061,2010,93929
19063,2010,10276
19065,2010,20860
19067,2010,16309
19069,2010,10706
19071,2010,7434
19073,2010,9362
19075,2010,12463
19077,2010,10937
19079,2010,15633
19081,2010,11297
19083,2010,17543
19085,2010,14909
19087,2010,20106
19089,2010,9568
19091,2010,9792
19093,2010,7066
19095,2010,16335
19097,2010,19830
19099,2010,36812
19101,2010,16837
19103,2010,131337
19105,2010,20689
19107,2010,10508
19109,2010,15525
19111,2010,35849
19113,2010,211705
19115,2010,11382
19117,2010,8898
19119,2010,11567
19121,2010,15739
19123,2010,22408
19125,2010,33225
19127,2010,40722
19129,2010,15076
19131,2010,10793
19133,2010,9248
19135,2010,7997
19137,2010,10690
19139,2010,42803
19141,2010,14408
19143,2010,6459
19145,2010,15921
19147,2010,9398
19149,2010,24975
19151,2010,7289
19153,2010,432352
19155,2010,93363
19157,2010,18925
19159,2010,5113
19161,2010,10354
19163,2010,165272
19165,2010,12174
19167,2010,33754
19169,2010,89654
19171,2010,17719
19173,2010,6322
19175,2010,12513
19177,2010,7577
19179,2010,35682
19181,2010,46340
19183,2010,21688
19185,2010,6419
19187,2010,37879
19189,2010,10846
19191,2010,21076
19193,2010,102388
19195,2010,7583
19197,2010,13185
16001,2010,393354
16003,2010,3962
16005,2010,83020
16007,2010,5969
16009,2010,9290
16011,2010,45765
16013,2010,21295
16015,2010,7005
16017,2010,40902
16019,2010,104675
16021,2010,10999
16023,2010,2915
16025,2010,1116
16027,2010,189347
16029,2010,6974
16031,2010,23080
16033,2010,980
16035,2010,8727
16037,2010,4357
16039,2010,27121
16041,2010,12781
16043,2010,13225
16045,2010,16687
16047,2010,15471
16049,2010,16310
16051,2010,26223
16053,2010,22442
16055,2010,138848
16057,2010,37255
16059,2010,7953
16061,2010,3820
16063,2010,5206
16065,2010,37592
16067,2010,20083
16069,2010,39315
16071,2010,4290
16073,2010,11473
16075,2010,22637
16077,2010,7872
16079,2010,12749
16081,2010,10151
16083,2010,77545
16085,2010,9788
16087,2010,10177
17001,2010,67160
17003,2010,8206
17005,2010,17787
17007,2010,54101
17009,2010,6919
17011,2010,34959
17013,2010,5096
17015,2010,15394
17017,2010,13633
17019,2010,201546
17021,2010,34763
17023,2010,16291
17025,2010,13826
17027,2010,37843
17029,2010,53866
17031,2010,5199016
17033,2010,19801
17035,2010,11053
17037,2010,105145
17039,2010,16590
17041,2010,19983
17043,2010,917983
17045,2010,18508
17047,2010,6734
17049,2010,34224
17051,2010,22131
17053,2010,14081
17055,2010,40035
17057,2010,37076
17059,2010,5573
17061,2010,13890
17063,2010,50154
17065,2010,8446
17067,2010,19091
17069,2010,4319
17071,2010,7343
17073,2010,50452
17075,2010,29701
17077,2010,60373
17079,2010,9725
17081,2010,38755
17083,2010,22995
17085,2010,22648
17087,2010,12604
17089,2010,516068
17091,2010,113418
17093,2010,115373
17095,2010,52912
17097,2010,704170
17099,2010,113823
17101,2010,16940
17103,2010,35983
17105,2010,38854
17107,2010,30283
17109,2010,32634
17111,2010,309112
17113,2010,169810
17115,2010,110787
17117,2010,47797
17119,2010,269310
17121,2010,39416
17123,2010,12637
17125,2010,14651
17127,2010,15380
17129,2010,12696
17131,2010,16409
17133,2010,32994
17135,2010,30097
17137,2010,35503
17139,2010,14859
17141,2010,53414
17143,2010,186222
17145,2010,22315
17147,2010,16709
17149,2010,16394
17151,2010,4474
17153,2010,6126
17155,2010,6012
17157,2010,33464
17159,2010,16194
17161,2010,147610
17163,2010,270353
17165,2010,24902
17167,2010,197769
17169,2010,7535
17171,2010,5327
17173,2010,22354
17175,2010,5969
17177,2010,47606
17179,2010,135486
17181,2010,17731
17183,2010,81640
17185,2010,11916
17187,2010,17713
17189,2010,14712
17191,2010,16738
17193,2010,14597
17195,2010,58486
17197,2010,678824
17199,2010,66432
17201,2010,295083
17203,2010,38661
18001,2010,34444
18003,2010,355945
18005,2010,76818
18007,2010,8863
18009,2010,12771
18011,2010,56916
18013,2010,15207
18015,2010,20199
18017,2010,38985
18019,2010,110567
18021,2010,26854
18023,2010,33221
18025,2010,10708
18027,2010,31720
18029,2010,50083
18031,2010,25798
18033,2010,42336
18035,2010,117665
18037,2010,41905
18039,2010,197451
18041,2010,24325
18043,2010,74709
18045,2010,17276
18047,2010,23059
18049,2010,20817
18051,2010,33545
18053,2010,69903
18055,2010,33207
18057,2010,276493
18059,2010,70247
18061,2010,39330
18063,2010,145954
18065,2010,49530
18067,2010,82752
18069,2010,37117
18071,2010,42586
18073,2010,33496
18075,2010,21179
18077,2010,32395
18079,2010,28481
18081,2010,140269
18083,2010,38391
18085,2010,77340
18087,2010,37159
18089,2010,495947
18091,2010,111459
18093,2010,46102
18095,2010,131619
18097,2010,904591
18099,2010,47000
18101,2010,10359
18103,2010,36810
18105,2010,138566
18107,2010,38098
18109,2010,69138
18111,2010,14233
18113,2010,47454
18115,2010,6086
18117,2010,19814
18119,2010,21566
18121,2010,17275
18123,2010,19409
18125,2010,12720
18127,2010,164487
18129,2010,25861
18131,2010,13323
18133,2010,37909
18135,2010,26178
18137,2010,28815
18139,2010,17384
18141,2010,266797
18143,2010,24171
18145,2010,44297
18147,2010,20915
18149,2010,23345
18151,2010,34109
18153,2010,21390
18155,2010,10717
18157,2010,173104
18159,2010,15878
18161,2010,7537
18163,2010,179842
18165,2010,16116
18167,2010,107888
18169,2010,32848
18171,2010,8521
18173,2010,59839
18175,2010,28292
18177,2010,68889
18179,2010,27682
18181,2010,24683
18183,2010,33353
20001,2010,13363
20003,2010,8103
20005,2010,16855
20007,2010,4852
20009,2010,27675
20011,2010,15135
20013,2010,9968
20015,2010,65901
20017,2010,2784
20019,2010,3649
20021,2010,21526
20023,2010,2714
20025,2010,2199
20027,2010,8548
20029,2010,9519
20031,2010,8585
20033,2010,1886
20035,2010,36312
20037,2010,39172
20039,2010,2957
20041,2010,19773
20043,2010,7960
20045,2010,111198
20047,2010,3054
20049,2010,2867
20051,2010,28424
20053,2010,6513
20055,2010,36952
20057,2010,34008
20059,2010,25985
20061,2010,35243
20063,2010,2692
20065,2010,2602
20067,2010,7825
20069,2010,6026
20071,2010,1259
20073,2010,6680
20075,2010,2707
20077,2010,6008
20079,2010,34740
20081,2010,4273
20083,2010,1920
20085,2010,13462
20087,2010,19121
20089,2010,3063
20091,2010,545655
20093,2010,4002
20095,2010,7857
20097,2010,2569
20099,2010,21537
20101,2010,1736
20103,2010,76520
20105,2010,3244
20107,2010,9626
20109,2010,2774
20111,2010,33648
20113,2010,29128
20115,2010,12671
20117,2010,10111
20119,2010,4596
20121,2010,32882
20123,2010,6336
20125,2010,35349
20127,2010,5918
20129,2010,3240
20131,2010,10159
20133,2010,16475
20135,2010,3104
20137,2010,5664
20139,2010,16274
20141,2010,3850
20143,2010,6096
20145,2010,6980
20147,2010,5632
20149,2010,21727
20151,2010,9641
20153,2010,2496
20155,2010,64552
20157,2010,4938
20159,2010,10115
20161,2010,71551
20163,2010,5195
20165,2010,3314
20167,2010,7001
20169,2010,55780
20171,2010,4959
20173,2010,499128
20175,2010,22970
20177,2010,178360
20179,2010,2530
20181,2010,6018
20183,2010,3860
20185,2010,4429
20187,2010,2246
20189,2010,5752
