compartment,outflow_to,placeholder_axis,time_step,total_population
pre-supervision,probation,x,66,4450
pre-supervision,probation,x,67,4450
pre-supervision,probation,x,68,4450
pre-supervision,probation,x,69,4450
pre-supervision,probation,x,70,4450
pre-supervision,probation,x,71,4450
pre-supervision,probation,x,72,4555
pre-supervision,probation,x,73,4555
pre-supervision,probation,x,74,4555
pre-supervision,probation,x,75,4555
pre-supervision,probation,x,76,4555
pre-supervision,probation,x,77,4555
pre-supervision,probation,x,78,4555
pre-supervision,probation,x,79,4555
pre-supervision,probation,x,80,4555
pre-supervision,probation,x,81,4555
pre-supervision,probation,x,82,4555
pre-supervision,probation,x,83,4555
pre-supervision,probation,x,84,4659
pre-supervision,probation,x,85,4659
pre-supervision,probation,x,86,4659
pre-supervision,probation,x,87,4659
pre-supervision,probation,x,88,4659
pre-supervision,probation,x,89,4659
pre-supervision,probation,x,90,4659
pre-supervision,probation,x,91,4659
pre-supervision,probation,x,92,4659
pre-supervision,probation,x,93,4659
pre-supervision,probation,x,94,4659
pre-supervision,probation,x,95,4659
pre-supervision,probation,x,96,4445
pre-supervision,probation,x,97,4445
pre-supervision,probation,x,98,4445
pre-supervision,probation,x,99,4445
pre-supervision,probation,x,100,4445
pre-supervision,probation,x,101,4445
pre-supervision,probation,x,102,4445
pre-supervision,probation,x,103,4445
pre-supervision,probation,x,104,4445
pre-supervision,probation,x,105,4445
pre-supervision,probation,x,106,4445
pre-supervision,probation,x,107,4445
pre-supervision,probation,x,108,4526
pre-supervision,probation,x,109,4526
pre-supervision,probation,x,110,4526
pre-supervision,probation,x,111,4526
pre-supervision,probation,x,112,4526
pre-supervision,probation,x,113,4526
pre-supervision,probation,x,114,4526
pre-supervision,probation,x,115,4526
pre-supervision,probation,x,116,4526
pre-supervision,probation,x,117,4526
pre-supervision,probation,x,118,4526
pre-supervision,probation,x,119,4526
parole,release,x,0,2210
parole,release,x,1,2210
parole,release,x,2,2210
parole,release,x,3,2210
parole,release,x,4,2210
parole,release,x,5,2210
parole,release,x,6,2210
parole,release,x,7,2210
parole,release,x,8,2210
parole,release,x,9,2210
parole,release,x,10,2210
parole,release,x,11,2210
parole,release,x,12,2279
parole,release,x,13,2279
parole,release,x,14,2279
parole,release,x,15,2279
parole,release,x,16,2279
parole,release,x,17,2279
parole,release,x,18,2279
parole,release,x,19,2279
parole,release,x,20,2279
parole,release,x,21,2279
parole,release,x,22,2279
parole,release,x,23,2279
parole,release,x,24,2386
parole,release,x,25,2386
parole,release,x,26,2386
parole,release,x,27,2386
parole,release,x,28,2386
parole,release,x,29,2386
parole,release,x,30,2386
parole,release,x,31,2386
parole,release,x,32,2386
parole,release,x,33,2386
parole,release,x,34,2386
parole,release,x,35,2386
parole,release,x,36,2472
parole,release,x,37,2472
parole,release,x,38,2472
parole,release,x,39,2472
parole,release,x,40,2472
parole,release,x,41,2472
parole,release,x,42,2472
parole,release,x,43,2472
parole,release,x,44,2472
parole,release,x,45,2472
parole,release,x,46,2472
parole,release,x,47,2472
parole,release,x,48,2468
parole,release,x,49,2468
parole,release,x,50,2468
parole,release,x,51,2468
parole,release,x,52,2468
parole,release,x,53,2468
parole,release,x,54,2468
parole,release,x,55,2468
parole,release,x,56,2468
parole,release,x,57,2468
parole,release,x,58,2468
parole,release,x,59,2468
parole,release,x,60,2500
parole,release,x,61,2500
parole,release,x,62,2500
parole,release,x,63,2500
parole,release,x,64,2500
parole,release,x,65,2500
parole,release,x,66,2500
parole,release,x,67,2500
parole,release,x,68,2500
parole,release,x,69,2500
parole,release,x,70,2500
parole,release,x,71,2500
parole,release,x,72,2508
parole,release,x,73,2508
parole,release,x,74,2508
parole,release,x,75,2508
parole,release,x,76,2508
parole,release,x,77,2508
parole,release,x,78,2508
parole,release,x,79,2508
parole,release,x,80,2508
parole,release,x,81,2508
parole,release,x,82,2508
parole,release,x,83,2508
parole,release,x,84,2487
parole,release,x,85,2487
parole,release,x,86,2487
parole,release,x,87,2487
parole,release,x,88,2487
parole,release,x,89,2487
parole,release,x,90,2487
parole,release,x,91,2487
parole,release,x,92,2487
parole,release,x,93,2487
parole,release,x,94,2487
parole,release,x,95,2487
parole,release,x,96,2452
parole,release,x,97,2452
parole,release,x,98,2452
parole,release,x,99,2452
parole,release,x,100,2452
parole,release,x,101,2452
parole,release,x,102,2452
parole,release,x,103,2452
parole,release,x,104,2452
parole,release,x,105,2452
parole,release,x,106,2452
parole,release,x,107,2452
parole,release,x,108,2529
parole,release,x,109,2529
parole,release,x,110,2529
parole,release,x,111,2529
parole,release,x,112,2529
parole,release,x,113,2529
parole,release,x,114,2529
parole,release,x,115,2529
parole,release,x,116,2529
parole,release,x,117,2529
parole,release,x,118,2529
parole,release,x,119,2529
probation,prison_probation_revocations,x,0,2020
probation,prison_probation_revocations,x,1,2020
probation,prison_probation_revocations,x,2,2020
probation,prison_probation_revocations,x,3,2020
probation,prison_probation_revocations,x,4,2020
probation,prison_probation_revocations,x,5,2020
probation,prison_probation_revocations,x,6,2020
probation,prison_probation_revocations,x,7,2020
probation,prison_probation_revocations,x,8,2020
probation,prison_probation_revocations,x,9,2020
probation,prison_probation_revocations,x,10,2020
probation,prison_probation_revocations,x,11,2020
probation,prison_probation_revocations,x,12,1990
probation,prison_probation_revocations,x,13,1990
probation,prison_probation_revocations,x,14,1990
probation,prison_probation_revocations,x,15,1990
probation,prison_probation_revocations,x,16,1990
probation,prison_probation_revocations,x,17,1990
probation,prison_probation_revocations,x,18,1990
probation,prison_probation_revocations,x,19,1990
probation,prison_probation_revocations,x,20,1990
probation,prison_probation_revocations,x,21,1990
probation,prison_probation_revocations,x,22,1990
probation,prison_probation_revocations,x,23,1990
probation,prison_probation_revocations,x,24,1954
probation,prison_probation_revocations,x,25,1954
probation,prison_probation_revocations,x,26,1954
probation,prison_probation_revocations,x,27,1954
probation,prison_probation_revocations,x,28,1954
probation,prison_probation_revocations,x,29,1954
probation,prison_probation_revocations,x,30,1954
probation,prison_probation_revocations,x,31,1954
probation,prison_probation_revocations,x,32,1954
probation,prison_probation_revocations,x,33,1954
probation,prison_probation_revocations,x,34,1954
probation,prison_probation_revocations,x,35,1954
probation,prison_probation_revocations,x,36,2016
probation,prison_probation_revocations,x,37,2016
probation,prison_probation_revocations,x,38,2016
probation,prison_probation_revocations,x,39,2016
probation,prison_probation_revocations,x,40,2016
probation,prison_probation_revocations,x,41,2016
probation,prison_probation_revocations,x,42,2016
probation,prison_probation_revocations,x,43,2016
probation,prison_probation_revocations,x,44,2016
probation,prison_probation_revocations,x,45,2016
probation,prison_probation_revocations,x,46,2016
probation,prison_probation_revocations,x,47,2016
probation,prison_probation_revocations,x,48,2008
probation,prison_probation_revocations,x,49,2008
probation,prison_probation_revocations,x,50,2008
probation,prison_probation_revocations,x,51,2008
probation,prison_probation_revocations,x,52,2008
probation,prison_probation_revocations,x,53,2008
probation,prison_probation_revocations,x,54,2008
probation,prison_probation_revocations,x,55,2008
probation,prison_probation_revocations,x,56,2008
probation,prison_probation_revocations,x,57,2008
probation,prison_probation_revocations,x,58,2008
probation,prison_probation_revocations,x,59,2008
probation,prison_probation_revocations,x,60,1915
probation,prison_probation_revocations,x,61,1915
probation,prison_probation_revocations,x,62,1915
probation,prison_probation_revocations,x,63,1915
probation,prison_probation_revocations,x,64,1915
probation,prison_probation_revocations,x,65,1915
probation,prison_probation_revocations,x,66,1915
probation,prison_probation_revocations,x,67,1915
probation,prison_probation_revocations,x,68,1915
probation,prison_probation_revocations,x,69,1915
probation,prison_probation_revocations,x,70,1915
probation,prison_probation_revocations,x,71,1915
probation,prison_probation_revocations,x,72,1884
probation,prison_probation_revocations,x,73,1884
probation,prison_probation_revocations,x,74,1884
probation,prison_probation_revocations,x,75,1884
probation,prison_probation_revocations,x,76,1884
probation,prison_probation_revocations,x,77,1884
probation,prison_probation_revocations,x,78,1884
probation,prison_probation_revocations,x,79,1884
probation,prison_probation_revocations,x,80,1884
probation,prison_probation_revocations,x,81,1884
probation,prison_probation_revocations,x,82,1884
probation,prison_probation_revocations,x,83,1884
probation,prison_probation_revocations,x,84,1925
probation,prison_probation_revocations,x,85,1925
probation,prison_probation_revocations,x,86,1925
probation,prison_probation_revocations,x,87,1925
probation,prison_probation_revocations,x,88,1925
probation,prison_probation_revocations,x,89,1925
probation,prison_probation_revocations,x,90,1925
probation,prison_probation_revocations,x,91,1925
probation,prison_probation_revocations,x,92,1925
probation,prison_probation_revocations,x,93,1925
probation,prison_probation_revocations,x,94,1925
probation,prison_probation_revocations,x,95,1925
probation,prison_probation_revocations,x,96,1919
probation,prison_probation_revocations,x,97,1919
probation,prison_probation_revocations,x,98,1919
probation,prison_probation_revocations,x,99,1919
probation,prison_probation_revocations,x,100,1919
probation,prison_probation_revocations,x,101,1919
probation,prison_probation_revocations,x,102,1919
probation,prison_probation_revocations,x,103,1919
probation,prison_probation_revocations,x,104,1919
probation,prison_probation_revocations,x,105,1919
probation,prison_probation_revocations,x,106,1919
probation,prison_probation_revocations,x,107,1919
probation,prison_probation_revocations,x,108,1786
probation,prison_probation_revocations,x,109,1786
probation,prison_probation_revocations,x,110,1786
probation,prison_probation_revocations,x,111,1786
probation,prison_probation_revocations,x,112,1786
probation,prison_probation_revocations,x,113,1786
probation,prison_probation_revocations,x,114,1786
probation,prison_probation_revocations,x,115,1786
probation,prison_probation_revocations,x,116,1786
probation,prison_probation_revocations,x,117,1786
probation,prison_probation_revocations,x,118,1786
probation,prison_probation_revocations,x,119,1786
parole,prison_parole_revocations,x,0,557
parole,prison_parole_revocations,x,1,557
parole,prison_parole_revocations,x,2,557
parole,prison_parole_revocations,x,3,557
parole,prison_parole_revocations,x,4,557
parole,prison_parole_revocations,x,5,557
parole,prison_parole_revocations,x,6,557
parole,prison_parole_revocations,x,7,557
parole,prison_parole_revocations,x,8,557
parole,prison_parole_revocations,x,9,557
parole,prison_parole_revocations,x,10,557
parole,prison_parole_revocations,x,11,557
parole,prison_parole_revocations,x,12,560
parole,prison_parole_revocations,x,13,560
parole,prison_parole_revocations,x,14,560
parole,prison_parole_revocations,x,15,560
parole,prison_parole_revocations,x,16,560
parole,prison_parole_revocations,x,17,560
parole,prison_parole_revocations,x,18,560
parole,prison_parole_revocations,x,19,560
parole,prison_parole_revocations,x,20,560
parole,prison_parole_revocations,x,21,560
parole,prison_parole_revocations,x,22,560
parole,prison_parole_revocations,x,23,560
parole,prison_parole_revocations,x,24,514
parole,prison_parole_revocations,x,25,514
parole,prison_parole_revocations,x,26,514
parole,prison_parole_revocations,x,27,514
parole,prison_parole_revocations,x,28,514
parole,prison_parole_revocations,x,29,514
parole,prison_parole_revocations,x,30,514
parole,prison_parole_revocations,x,31,514
parole,prison_parole_revocations,x,32,514
parole,prison_parole_revocations,x,33,514
parole,prison_parole_revocations,x,34,514
parole,prison_parole_revocations,x,35,514
parole,prison_parole_revocations,x,36,481
parole,prison_parole_revocations,x,37,481
parole,prison_parole_revocations,x,38,481
parole,prison_parole_revocations,x,39,481
parole,prison_parole_revocations,x,40,481
parole,prison_parole_revocations,x,41,481
parole,prison_parole_revocations,x,42,481
parole,prison_parole_revocations,x,43,481
parole,prison_parole_revocations,x,44,481
parole,prison_parole_revocations,x,45,481
parole,prison_parole_revocations,x,46,481
parole,prison_parole_revocations,x,47,481
parole,prison_parole_revocations,x,48,469
parole,prison_parole_revocations,x,49,469
parole,prison_parole_revocations,x,50,469
parole,prison_parole_revocations,x,51,469
parole,prison_parole_revocations,x,52,469
parole,prison_parole_revocations,x,53,469
parole,prison_parole_revocations,x,54,469
parole,prison_parole_revocations,x,55,469
parole,prison_parole_revocations,x,56,469
parole,prison_parole_revocations,x,57,469
parole,prison_parole_revocations,x,58,469
parole,prison_parole_revocations,x,59,469
parole,prison_parole_revocations,x,60,467
parole,prison_parole_revocations,x,61,467
parole,prison_parole_revocations,x,62,467
parole,prison_parole_revocations,x,63,467
parole,prison_parole_revocations,x,64,467
parole,prison_parole_revocations,x,65,467
parole,prison_parole_revocations,x,66,467
parole,prison_parole_revocations,x,67,467
parole,prison_parole_revocations,x,68,467
parole,prison_parole_revocations,x,69,467
parole,prison_parole_revocations,x,70,467
parole,prison_parole_revocations,x,71,467
parole,prison_parole_revocations,x,72,523
parole,prison_parole_revocations,x,73,523
parole,prison_parole_revocations,x,74,523
parole,prison_parole_revocations,x,75,523
parole,prison_parole_revocations,x,76,523
parole,prison_parole_revocations,x,77,523
parole,prison_parole_revocations,x,78,523
parole,prison_parole_revocations,x,79,523
parole,prison_parole_revocations,x,80,523
parole,prison_parole_revocations,x,81,523
parole,prison_parole_revocations,x,82,523
parole,prison_parole_revocations,x,83,523
parole,prison_parole_revocations,x,84,552
parole,prison_parole_revocations,x,85,552
parole,prison_parole_revocations,x,86,552
parole,prison_parole_revocations,x,87,552
parole,prison_parole_revocations,x,88,552
parole,prison_parole_revocations,x,89,552
parole,prison_parole_revocations,x,90,552
parole,prison_parole_revocations,x,91,552
parole,prison_parole_revocations,x,92,552
parole,prison_parole_revocations,x,93,552
parole,prison_parole_revocations,x,94,552
parole,prison_parole_revocations,x,95,552
parole,prison_parole_revocations,x,96,547
parole,prison_parole_revocations,x,97,547
parole,prison_parole_revocations,x,98,547
parole,prison_parole_revocations,x,99,547
parole,prison_parole_revocations,x,100,547
parole,prison_parole_revocations,x,101,547
parole,prison_parole_revocations,x,102,547
parole,prison_parole_revocations,x,103,547
parole,prison_parole_revocations,x,104,547
parole,prison_parole_revocations,x,105,547
parole,prison_parole_revocations,x,106,547
parole,prison_parole_revocations,x,107,547
parole,prison_parole_revocations,x,108,494
parole,prison_parole_revocations,x,109,494
parole,prison_parole_revocations,x,110,494
parole,prison_parole_revocations,x,111,494
parole,prison_parole_revocations,x,112,494
parole,prison_parole_revocations,x,113,494
parole,prison_parole_revocations,x,114,494
parole,prison_parole_revocations,x,115,494
parole,prison_parole_revocations,x,116,494
parole,prison_parole_revocations,x,117,494
parole,prison_parole_revocations,x,118,494
parole,prison_parole_revocations,x,119,494
