file_id,region_code,file_tag,update_datetime,raw_data_instance,is_invalidated,file_processed_time
115499,US_CO,eomis_codevaluedesc,2022-05-10T05:45:08.815991,PRIMARY,False,2022-05-10T18:42:37.032815
116300,US_CO,eomis_codevaluedesc,2022-05-13T05:32:47.824069,PRIMARY,False,2022-05-13T17:54:06.684315
119173,US_CO,eomis_codevaluedesc,2022-05-18T05:42:32.105481,PRIMARY,False,2022-05-18T19:29:08.276272
119411,US_CO,eomis_codevaluedesc,2022-05-19T05:51:35.326527,PRIMARY,False,2022-05-19T15:07:48.889963
122035,US_CO,eomis_codevaluedesc,2022-05-27T05:51:39.827847,PRIMARY,False,2022-05-27T14:18:24.616181
128188,US_CO,eomis_codevaluedesc,2022-06-13T06:52:13.943195,PRIMARY,False,2022-06-13T16:21:34.900562
130366,US_CO,eomis_codevaluedesc,2022-06-22T06:44:59.900889,PRIMARY,False,2022-06-22T15:58:29.686392
90735,US_CO,eomis_commitmentsummary,2022-04-26T16:37:59.099436,PRIMARY,False,2022-04-27T21:58:52.061983
90747,US_CO,eomis_commitmentsummary,2022-04-27T14:27:05.315281,PRIMARY,False,2022-04-27T22:12:24.303148
92243,US_CO,eomis_commitmentsummary,2022-04-29T14:53:08.918927,PRIMARY,False,2022-04-29T20:49:46.656536
92894,US_CO,eomis_commitmentsummary,2022-05-02T05:31:22.122803,PRIMARY,False,2022-05-02T14:56:11.993693
93590,US_CO,eomis_commitmentsummary,2022-05-03T05:30:40.885720,PRIMARY,False,2022-05-03T14:25:11.066044
93892,US_CO,eomis_commitmentsummary,2022-05-04T05:31:15.118141,PRIMARY,False,2022-05-04T14:45:40.951891
115500,US_CO,eomis_commitmentsummary,2022-05-10T05:45:16.880902,PRIMARY,False,2022-05-10T18:42:37.047514
116301,US_CO,eomis_commitmentsummary,2022-05-13T05:32:54.779176,PRIMARY,False,2022-05-13T17:54:06.699303
119174,US_CO,eomis_commitmentsummary,2022-05-18T05:42:39.615356,PRIMARY,False,2022-05-18T19:29:08.294240
119412,US_CO,eomis_commitmentsummary,2022-05-19T05:51:43.286317,PRIMARY,False,2022-05-19T15:07:48.905197
122036,US_CO,eomis_commitmentsummary,2022-05-27T05:51:50.316664,PRIMARY,False,2022-05-27T14:18:24.629086
128189,US_CO,eomis_commitmentsummary,2022-06-13T06:52:23.820057,PRIMARY,False,2022-06-13T16:21:34.916190
130367,US_CO,eomis_commitmentsummary,2022-06-22T06:45:11.417577,PRIMARY,False,2022-06-22T15:58:29.703849
90736,US_CO,eomis_externalmovement,2022-04-26T16:39:57.197984,PRIMARY,False,2022-04-27T21:58:52.077678
90748,US_CO,eomis_externalmovement,2022-04-27T14:28:48.636395,PRIMARY,False,2022-04-27T22:12:24.321618
92244,US_CO,eomis_externalmovement,2022-04-29T14:54:31.117245,PRIMARY,False,2022-04-29T20:49:46.672552
92895,US_CO,eomis_externalmovement,2022-05-02T05:34:03.296725,PRIMARY,False,2022-05-02T14:56:12.009845
93591,US_CO,eomis_externalmovement,2022-05-03T05:32:03.418968,PRIMARY,False,2022-05-03T14:25:11.081374
93893,US_CO,eomis_externalmovement,2022-05-04T05:32:22.985491,PRIMARY,False,2022-05-04T14:45:40.969106
115501,US_CO,eomis_externalmovement,2022-05-10T05:46:26.993545,PRIMARY,False,2022-05-10T18:42:37.064029
116302,US_CO,eomis_externalmovement,2022-05-13T05:34:05.018078,PRIMARY,False,2022-05-13T17:54:06.715591
119175,US_CO,eomis_externalmovement,2022-05-18T05:43:59.130658,PRIMARY,False,2022-05-18T19:29:08.311051
119413,US_CO,eomis_externalmovement,2022-05-19T05:52:53.133917,PRIMARY,False,2022-05-19T15:07:48.922790
122037,US_CO,eomis_externalmovement,2022-05-27T05:53:02.301251,PRIMARY,False,2022-05-27T14:18:24.642477
128190,US_CO,eomis_externalmovement,2022-06-13T06:53:54.745010,PRIMARY,False,2022-06-13T16:21:34.931924
130368,US_CO,eomis_externalmovement,2022-06-22T06:46:39.190207,PRIMARY,False,2022-06-22T15:58:29.722940
116303,US_CO,eomis_facilitybed,2022-05-13T05:34:06.124010,PRIMARY,False,2022-05-13T17:54:06.729810
119176,US_CO,eomis_facilitybed,2022-05-18T05:44:00.931397,PRIMARY,False,2022-05-18T19:29:08.328402
119414,US_CO,eomis_facilitybed,2022-05-19T05:52:55.588152,PRIMARY,False,2022-05-19T15:07:48.937877
122038,US_CO,eomis_facilitybed,2022-05-27T05:53:03.990312,PRIMARY,False,2022-05-27T14:18:24.655890
128191,US_CO,eomis_facilitybed,2022-06-13T06:53:56.934690,PRIMARY,False,2022-06-13T16:21:34.946171
130369,US_CO,eomis_facilitybed,2022-06-22T06:46:39.513941,PRIMARY,False,2022-06-22T15:58:29.740542
116304,US_CO,eomis_gatepass,2022-05-13T05:34:07.907372,PRIMARY,False,2022-05-13T17:54:06.743268
119177,US_CO,eomis_gatepass,2022-05-18T05:44:01.846961,PRIMARY,False,2022-05-18T19:29:08.343696
119415,US_CO,eomis_gatepass,2022-05-19T05:52:56.804261,PRIMARY,False,2022-05-19T15:07:48.951919
122039,US_CO,eomis_gatepass,2022-05-27T05:53:04.591142,PRIMARY,False,2022-05-27T14:18:24.668883
