file_id,region_code,file_tag,normalized_file_name,discovery_time,processed_time,update_datetime,datetimes_contained_upper_bound_inclusive,raw_data_instance,is_invalidated,file_processed_time,file_discovery_time
93889,US_CO,Base_Curr_Par_Pop,unprocessed_2022-05-04T05:31:04:470767_raw_Base_Curr_Par_Pop.csv,2022-05-04T14:45:40.899534,2022-05-04T14:46:13.298958,2022-05-04T05:31:04.470767,2022-05-04T05:31:04.470767,PRIMARY,False,2022-05-04T14:46:13.298958,2022-05-04T14:45:40.899534
115496,US_CO,Base_Curr_Par_Pop,unprocessed_2022-05-10T05:44:58:614177_raw_Base_Curr_Par_Pop.csv,2022-05-10T18:42:36.983630,2022-05-10T18:43:07.525018,2022-05-10T05:44:58.614177,2022-05-10T05:44:58.614177,PRIMARY,False,2022-05-10T18:43:07.525018,2022-05-10T18:42:36.983630
116297,US_CO,Base_Curr_Par_Pop,unprocessed_2022-05-13T05:32:36:045089_raw_Base_Curr_Par_Pop.csv,2022-05-13T17:54:06.632444,2022-05-13T17:54:20.107517,2022-05-13T05:32:36.045089,2022-05-13T05:32:36.045089,PRIMARY,False,2022-05-13T17:54:20.107517,2022-05-13T17:54:06.632444
119169,US_CO,Base_Curr_Par_Pop,unprocessed_2022-05-18T05:41:21:428744_raw_Base_Curr_Par_Pop.csv,2022-05-18T19:29:08.160556,2022-05-18T19:29:21.753570,2022-05-18T05:41:21.428744,2022-05-18T05:41:21.428744,PRIMARY,False,2022-05-18T19:29:21.753570,2022-05-18T19:29:08.160556
119407,US_CO,Base_Curr_Par_Pop,unprocessed_2022-05-19T05:50:29:277785_raw_Base_Curr_Par_Pop.csv,2022-05-19T15:07:48.827756,2022-05-19T15:08:05.037928,2022-05-19T05:50:29.277785,2022-05-19T05:50:29.277785,PRIMARY,False,2022-05-19T15:08:05.037928,2022-05-19T15:07:48.827756
122031,US_CO,Base_Curr_Par_Pop,unprocessed_2022-05-27T05:50:27:872168_raw_Base_Curr_Par_Pop.csv,2022-05-27T14:18:24.559143,2022-05-27T14:18:36.104953,2022-05-27T05:50:27.872168,2022-05-27T05:50:27.872168,PRIMARY,False,2022-05-27T14:18:36.104953,2022-05-27T14:18:24.559143
128184,US_CO,Base_Curr_Par_Pop,unprocessed_2022-06-13T06:50:49:775593_raw_Base_Curr_Par_Pop.csv,2022-06-13T16:21:34.839199,2022-06-13T16:21:55.614604,2022-06-13T06:50:49.775593,2022-06-13T06:50:49.775593,PRIMARY,False,2022-06-13T16:21:55.614604,2022-06-13T16:21:34.839199
130362,US_CO,Base_Curr_Par_Pop,unprocessed_2022-06-22T06:43:34:463123_raw_Base_Curr_Par_Pop.csv,2022-06-22T15:58:29.617122,2022-06-22T15:58:42.631236,2022-06-22T06:43:34.463123,2022-06-22T06:43:34.463123,PRIMARY,False,2022-06-22T15:58:42.631236,2022-06-22T15:58:29.617122
90733,US_CO,eomis_address,unprocessed_2022-04-26T16:37:43:398751_raw_eomis_address.csv,2022-04-27T21:58:52.029574,2022-04-27T21:59:51.168050,2022-04-26T16:37:43.398751,2022-04-26T16:37:43.398751,PRIMARY,False,2022-04-27T21:59:51.168050,2022-04-27T21:58:52.029574
90745,US_CO,eomis_address,unprocessed_2022-04-27T14:26:53:880753_raw_eomis_address.csv,2022-04-27T22:12:24.269781,2022-04-27T22:13:49.056498,2022-04-27T14:26:53.880753,2022-04-27T14:26:53.880753,PRIMARY,False,2022-04-27T22:13:49.056498,2022-04-27T22:12:24.269781
92241,US_CO,eomis_address,unprocessed_2022-04-29T14:52:57:941814_raw_eomis_address.csv,2022-04-29T20:49:46.624380,2022-04-29T20:51:23.771930,2022-04-29T14:52:57.941814,2022-04-29T14:52:57.941814,PRIMARY,False,2022-04-29T20:51:23.771930,2022-04-29T20:49:46.624380
92892,US_CO,eomis_address,unprocessed_2022-05-02T05:31:01:823686_raw_eomis_address.csv,2022-05-02T14:56:11.961457,2022-05-02T14:57:22.422481,2022-05-02T05:31:01.823686,2022-05-02T05:31:01.823686,PRIMARY,False,2022-05-02T14:57:22.422481,2022-05-02T14:56:11.961457
93588,US_CO,eomis_address,unprocessed_2022-05-03T05:30:29:568525_raw_eomis_address.csv,2022-05-03T14:25:11.031373,2022-05-03T14:26:28.162092,2022-05-03T05:30:29.568525,2022-05-03T05:30:29.568525,PRIMARY,False,2022-05-03T14:26:28.162092,2022-05-03T14:25:11.031373
93890,US_CO,eomis_address,unprocessed_2022-05-04T05:31:04:920608_raw_eomis_address.csv,2022-05-04T14:45:40.916188,2022-05-04T14:46:40.595342,2022-05-04T05:31:04.920608,2022-05-04T05:31:04.920608,PRIMARY,False,2022-05-04T14:46:40.595342,2022-05-04T14:45:40.916188
