gcs_file_id,file_id,region_code,file_tag,normalized_file_name,update_datetime,raw_data_instance,file_discovery_time
93588,93588,US_CO,eomis_address,unprocessed_2022-05-03T05:30:29:568525_raw_eomis_address.csv,2022-05-03T05:30:29.568525,PRIMARY,2022-05-03T14:25:11.031373
93890,93890,US_CO,eomis_address,unprocessed_2022-05-04T05:31:04:920608_raw_eomis_address.csv,2022-05-04T05:31:04.920608,PRIMARY,2022-05-04T14:45:40.916188
115497,115497,US_CO,eomis_address,unprocessed_2022-05-10T05:44:59:490470_raw_eomis_address.csv,2022-05-10T05:44:59.490470,PRIMARY,2022-05-10T18:42:37.001541
116298,116298,US_CO,eomis_address,unprocessed_2022-05-13T05:32:37:266813_raw_eomis_address.csv,2022-05-13T05:32:37.266813,PRIMARY,2022-05-13T17:54:06.648270
119170,119170,US_CO,eomis_address,unprocessed_2022-05-18T05:41:21:823838_raw_eomis_address.csv,2022-05-18T05:41:21.823838,PRIMARY,2022-05-18T19:29:08.194345
119408,119408,US_CO,eomis_address,unprocessed_2022-05-19T05:50:31:089320_raw_eomis_address.csv,2022-05-19T05:50:31.089320,PRIMARY,2022-05-19T15:07:48.843314
122032,122032,US_CO,eomis_address,unprocessed_2022-05-27T05:50:28:486588_raw_eomis_address.csv,2022-05-27T05:50:28.486588,PRIMARY,2022-05-27T14:18:24.573866
128185,128185,US_CO,eomis_address,unprocessed_2022-06-13T06:50:51:052708_raw_eomis_address.csv,2022-06-13T06:50:51.052708,PRIMARY,2022-06-13T16:21:34.855418
130363,130363,US_CO,eomis_address,unprocessed_2022-06-22T06:43:35:709707_raw_eomis_address.csv,2022-06-22T06:43:35.709707,PRIMARY,2022-06-22T15:58:29.634088
115498,115498,US_CO,eomis_admissionsummary,unprocessed_2022-05-10T05:45:07:515139_raw_eomis_admissionsummary.csv,2022-05-10T05:45:07.515139,PRIMARY,2022-05-10T18:42:37.017128
116299,116299,US_CO,eomis_admissionsummary,unprocessed_2022-05-13T05:32:45:588352_raw_eomis_admissionsummary.csv,2022-05-13T05:32:45.588352,PRIMARY,2022-05-13T17:54:06.668943
119171,119171,US_CO,eomis_admissionsummary,unprocessed_2022-05-18T05:41:29:526900_raw_eomis_admissionsummary.csv,2022-05-18T05:41:29.526900,PRIMARY,2022-05-18T19:29:08.217859
119409,119409,US_CO,eomis_admissionsummary,unprocessed_2022-05-19T05:50:40:211290_raw_eomis_admissionsummary.csv,2022-05-19T05:50:40.211290,PRIMARY,2022-05-19T15:07:48.858646
122033,122033,US_CO,eomis_admissionsummary,unprocessed_2022-05-27T05:50:36:499439_raw_eomis_admissionsummary.csv,2022-05-27T05:50:36.499439,PRIMARY,2022-05-27T14:18:24.588689
128186,128186,US_CO,eomis_admissionsummary,unprocessed_2022-06-13T06:51:00:554450_raw_eomis_admissionsummary.csv,2022-06-13T06:51:00.554450,PRIMARY,2022-06-13T16:21:34.870386
130364,130364,US_CO,eomis_admissionsummary,unprocessed_2022-06-22T06:43:48:491467_raw_eomis_admissionsummary.csv,2022-06-22T06:43:48.491467,PRIMARY,2022-06-22T15:58:29.651211
90734,90734,US_CO,eomis_codevaluedesc,unprocessed_2022-04-26T16:37:46:325989_raw_eomis_codevaluedesc.csv,2022-04-26T16:37:46.325989,PRIMARY,2022-04-27T21:58:52.045807
90746,90746,US_CO,eomis_codevaluedesc,unprocessed_2022-04-27T14:26:54:932882_raw_eomis_codevaluedesc.csv,2022-04-27T14:26:54.932882,PRIMARY,2022-04-27T22:12:24.287360
92242,92242,US_CO,eomis_codevaluedesc,unprocessed_2022-04-29T14:52:58:743716_raw_eomis_codevaluedesc.csv,2022-04-29T14:52:58.743716,PRIMARY,2022-04-29T20:49:46.641065
92893,92893,US_CO,eomis_codevaluedesc,unprocessed_2022-05-02T05:31:02:923321_raw_eomis_codevaluedesc.csv,2022-05-02T05:31:02.923321,PRIMARY,2022-05-02T14:56:11.977410
93589,93589,US_CO,eomis_codevaluedesc,unprocessed_2022-05-03T05:30:31:183510_raw_eomis_codevaluedesc.csv,2022-05-03T05:30:31.183510,PRIMARY,2022-05-03T14:25:11.049088
93891,93891,US_CO,eomis_codevaluedesc,unprocessed_2022-05-04T05:31:05:902599_raw_eomis_codevaluedesc.csv,2022-05-04T05:31:05.902599,PRIMARY,2022-05-04T14:45:40.933828
115499,115499,US_CO,eomis_codevaluedesc,unprocessed_2022-05-10T05:45:08:815991_raw_eomis_codevaluedesc.csv,2022-05-10T05:45:08.815991,PRIMARY,2022-05-10T18:42:37.032815
116300,116300,US_CO,eomis_codevaluedesc,unprocessed_2022-05-13T05:32:47:824069_raw_eomis_codevaluedesc.csv,2022-05-13T05:32:47.824069,PRIMARY,2022-05-13T17:54:06.684315
119173,119173,US_CO,eomis_codevaluedesc,unprocessed_2022-05-18T05:42:32:105481_raw_eomis_codevaluedesc.csv,2022-05-18T05:42:32.105481,PRIMARY,2022-05-18T19:29:08.276272
119411,119411,US_CO,eomis_codevaluedesc,unprocessed_2022-05-19T05:51:35:326527_raw_eomis_codevaluedesc.csv,2022-05-19T05:51:35.326527,PRIMARY,2022-05-19T15:07:48.889963
122035,122035,US_CO,eomis_codevaluedesc,unprocessed_2022-05-27T05:51:39:827847_raw_eomis_codevaluedesc.csv,2022-05-27T05:51:39.827847,PRIMARY,2022-05-27T14:18:24.616181
128188,128188,US_CO,eomis_codevaluedesc,unprocessed_2022-06-13T06:52:13:943195_raw_eomis_codevaluedesc.csv,2022-06-13T06:52:13.943195,PRIMARY,2022-06-13T16:21:34.900562
130366,130366,US_CO,eomis_codevaluedesc,unprocessed_2022-06-22T06:44:59:900889_raw_eomis_codevaluedesc.csv,2022-06-22T06:44:59.900889,PRIMARY,2022-06-22T15:58:29.686392
90735,90735,US_CO,eomis_commitmentsummary,unprocessed_2022-04-26T16:37:59:099436_raw_eomis_commitmentsummary.csv,2022-04-26T16:37:59.099436,PRIMARY,2022-04-27T21:58:52.061983
90747,90747,US_CO,eomis_commitmentsummary,unprocessed_2022-04-27T14:27:05:315281_raw_eomis_commitmentsummary.csv,2022-04-27T14:27:05.315281,PRIMARY,2022-04-27T22:12:24.303148
92243,92243,US_CO,eomis_commitmentsummary,unprocessed_2022-04-29T14:53:08:918927_raw_eomis_commitmentsummary.csv,2022-04-29T14:53:08.918927,PRIMARY,2022-04-29T20:49:46.656536
92894,92894,US_CO,eomis_commitmentsummary,unprocessed_2022-05-02T05:31:22:122803_raw_eomis_commitmentsummary.csv,2022-05-02T05:31:22.122803,PRIMARY,2022-05-02T14:56:11.993693
93590,93590,US_CO,eomis_commitmentsummary,unprocessed_2022-05-03T05:30:40:885720_raw_eomis_commitmentsummary.csv,2022-05-03T05:30:40.885720,PRIMARY,2022-05-03T14:25:11.066044
93892,93892,US_CO,eomis_commitmentsummary,unprocessed_2022-05-04T05:31:15:118141_raw_eomis_commitmentsummary.csv,2022-05-04T05:31:15.118141,PRIMARY,2022-05-04T14:45:40.951891
115500,115500,US_CO,eomis_commitmentsummary,unprocessed_2022-05-10T05:45:16:880902_raw_eomis_commitmentsummary.csv,2022-05-10T05:45:16.880902,PRIMARY,2022-05-10T18:42:37.047514
116301,116301,US_CO,eomis_commitmentsummary,unprocessed_2022-05-13T05:32:54:779176_raw_eomis_commitmentsummary.csv,2022-05-13T05:32:54.779176,PRIMARY,2022-05-13T17:54:06.699303
119174,119174,US_CO,eomis_commitmentsummary,unprocessed_2022-05-18T05:42:39:615356_raw_eomis_commitmentsummary.csv,2022-05-18T05:42:39.615356,PRIMARY,2022-05-18T19:29:08.294240
119412,119412,US_CO,eomis_commitmentsummary,unprocessed_2022-05-19T05:51:43:286317_raw_eomis_commitmentsummary.csv,2022-05-19T05:51:43.286317,PRIMARY,2022-05-19T15:07:48.905197
122036,122036,US_CO,eomis_commitmentsummary,unprocessed_2022-05-27T05:51:50:316664_raw_eomis_commitmentsummary.csv,2022-05-27T05:51:50.316664,PRIMARY,2022-05-27T14:18:24.629086
128189,128189,US_CO,eomis_commitmentsummary,unprocessed_2022-06-13T06:52:23:820057_raw_eomis_commitmentsummary.csv,2022-06-13T06:52:23.820057,PRIMARY,2022-06-13T16:21:34.916190
130367,130367,US_CO,eomis_commitmentsummary,unprocessed_2022-06-22T06:45:11:417577_raw_eomis_commitmentsummary.csv,2022-06-22T06:45:11.417577,PRIMARY,2022-06-22T15:58:29.703849
