job_id,region_code,ingest_instance,completion_time,is_invalidated
2025-03-02_03_12_51-14138290970614424924,US_AR,PRIMARY,2025-03-02T11:49:16.423142,false
2025-03-02_03_13_44-17670280545016157611,US_OR,PRIMARY,2025-03-02T11:35:41.684731,false
