,compartment,compartment_duration,outflow_to,total_population,crime_type,time_step
3,probation,4.0,release,0.040670226303951285,misdemeanor,
4,probation,5.0,release,0.022963936362301405,misdemeanor,
5,probation,6.0,release,0.013137188232193793,misdemeanor,
6,probation,7.0,release,0.007583725452266006,misdemeanor,
7,probation,8.0,release,0.004406917971852861,misdemeanor,
8,probation,9.0,release,0.0025738368550044907,misdemeanor,
9,probation,10.0,release,0.0015092370969518292,misdemeanor,
10,probation,11.0,release,0.0008878383490464488,misdemeanor,
11,probation,12.0,release,0.0005236803986531948,misdemeanor,
12,probation,13.0,release,0.00030957754030110047,misdemeanor,
13,probation,14.0,release,0.0001833577441500705,misdemeanor,
14,probation,15.0,release,0.00010877812843661419,misdemeanor,
15,probation,16.0,release,6.462556915037071e-05,misdemeanor,
16,probation,17.0,release,3.8442566130062685e-05,misdemeanor,
17,probation,18.0,release,2.289302530860403e-05,misdemeanor,
18,probation,19.0,release,1.3646604259781598e-05,misdemeanor,
19,probation,20.0,release,8.142024478852045e-06,misdemeanor,
20,probation,21.0,release,4.861708168163659e-06,misdemeanor,
21,probation,22.0,release,2.905103376246692e-06,misdemeanor,
22,probation,23.0,release,1.7370903016439368e-06,misdemeanor,
23,probation,24.0,release,1.0393139793365714e-06,misdemeanor,
24,probation,25.0,release,6.221759013509094e-07,misdemeanor,
25,probation,26.0,release,3.7265131200248455e-07,misdemeanor,
26,probation,27.0,release,2.233049423791177e-07,misdemeanor,
27,probation,28.0,release,1.3387060482970426e-07,misdemeanor,
28,probation,29.0,release,8.028786375480669e-08,misdemeanor,
29,probation,30.0,release,4.817040633462781e-08,misdemeanor,
30,probation,31.0,release,2.891116393504787e-08,misdemeanor,
31,probation,32.0,release,1.735784745436226e-08,misdemeanor,
32,probation,33.0,release,1.042466856409032e-08,misdemeanor,
33,probation,34.0,release,6.262628003360337e-09,misdemeanor,
34,probation,35.0,release,3.763323266959144e-09,misdemeanor,
35,probation,36.0,release,2.2620395446732505e-09,misdemeanor,
36,probation,37.0,release,1.3599920928531277e-09,misdemeanor,
37,probation,38.0,release,8.178513241031075e-10,misdemeanor,
38,probation,39.0,release,4.919362630855542e-10,misdemeanor,
39,probation,40.0,release,2.959613000703123e-10,misdemeanor,
40,probation,41.0,release,1.780935136285092e-10,misdemeanor,
41,probation,42.0,release,1.071875064240994e-10,misdemeanor,
42,probation,43.0,release,6.452369381385495e-11,misdemeanor,
43,probation,44.0,release,3.884808647822945e-11,misdemeanor,
44,probation,45.0,release,2.3393328046841336e-11,misdemeanor,
45,probation,46.0,release,1.408909817487841e-11,misdemeanor,
46,probation,47.0,release,8.486726865022794e-12,misdemeanor,
47,probation,48.0,release,5.112817931102614e-12,misdemeanor,
48,probation,49.0,release,3.0806396558441476e-12,misdemeanor,
49,probation,50.0,release,1.856433956084233e-12,misdemeanor,
50,probation,1.0,prison,0.10311559379273803,misdemeanor,
51,probation,2.0,prison,0.05007540237803041,misdemeanor,
52,probation,3.0,prison,0.02666843449879029,misdemeanor,
53,probation,4.0,prison,0.014749500315044663,misdemeanor,
54,probation,5.0,prison,0.00832812151275203,misdemeanor,
