,offense_code,compartment,compartment_duration,total_population,outflow_to,offense_group,time_step
1174,DWI5449,jail,0.22142368241666666,1,release,,
1175,DWI5449,jail,0.2464065708333333,227,release,,
1176,DWI5449,jail,0.25,84,release,,
1177,DWI5449,jail,0.26009582475000004,1,release,,
1178,DWI5449,jail,0.27378507875,10,release,,
1179,DWI5449,jail,0.2773785078333333,4,release,,
1180,DWI5449,jail,0.2910677618333333,2,release,,
1181,DWI5449,jail,0.29295003425000005,1,release,,
1182,DWI5449,jail,0.3011635865833333,4,release,,
1183,DWI5449,jail,0.30475701575,1,release,,
1184,DWI5449,jail,0.3148528405,1,release,,
1185,DWI5449,jail,0.32854209441666665,12,release,,
1186,DWI5449,jail,0.33213552358333337,1,release,,
1187,DWI5449,jail,0.3333333333333333,45,release,,
1188,DWI5449,jail,0.3559206023333334,2,release,,
1189,DWI5449,jail,0.3607118411666666,1,release,,
1190,DWI5449,jail,0.36960985625,2,release,,
1191,DWI5449,jail,0.3880903490833333,1,release,,
1192,DWI5449,jail,0.4106776180833333,4,release,,
1193,DWI5449,jail,0.4130732375,1,release,,
1194,DWI5449,jail,0.41427104725,1,release,,
1195,DWI5449,jail,0.4166666666666667,22,release,,
1196,DWI5449,jail,0.4577344285,1,release,,
1197,DWI5449,jail,0.4714236824166666,1,release,,
1198,DWI5449,jail,0.4851129363333334,1,release,,
1199,DWI5449,jail,0.4873374400833334,1,release,,
1200,DWI5449,jail,0.4928131416666667,1,release,,
1201,DWI5449,jail,0.5,108,release,,
1202,DWI5449,prison,0.25,1,release,,
1203,DWI5449,prison,0.3607118411666666,1,release,,
1204,DWI5449,prison,0.5261806981666667,1,release,,
1205,DWI5449,prison,0.5273785078333333,3,release,,
1206,DWI5449,prison,0.5797399041666667,3,release,,
1207,DWI5449,prison,0.5821355235833333,1,release,,
1208,DWI5449,prison,0.5833333333333334,48,release,,
1209,DWI5449,prison,0.6107118411666667,4,release,,
1210,DWI5449,prison,0.6654688569166666,1,release,,
1211,DWI5449,prison,0.6666666666666666,24,release,,
1212,DWI5449,prison,0.7464065708333334,2,release,,
1213,DWI5449,prison,0.75,28,release,,
1214,DWI5449,prison,0.7773785078333333,2,release,,
1215,DWI5449,prison,0.8333333333333334,19,release,,
1216,DWI5449,prison,0.8880903491666667,1,release,,
1217,DWI5449,prison,0.9166666666666666,5,release,,
1218,DWI5449,prison,1.0,66,release,,
1219,DWI5449,prison,1.0273785075,3,release,,
1220,DWI5449,prison,1.0547570158333337,1,release,,
1221,DWI5449,prison,1.0833333333333333,3,release,,
1222,DWI5449,prison,1.1666666666666667,10,release,,
1223,DWI5449,prison,1.2464065708333334,5,release,,
1224,DWI5449,prison,1.25,10,release,,
1225,DWI5449,prison,1.2773785075,1,release,,
1226,DWI5449,prison,1.3333333333333333,3,release,,
1227,DWI5449,prison,1.4166666666666667,2,release,,
1228,DWI5449,prison,1.5,16,release,,
1229,DWI5449,prison,1.5833333333333333,1,release,,
1230,DWI5449,prison,1.75,2,release,,
1231,DWI5449,prison,2.0,10,release,,
1232,DWI5449,prison,2.0273785075,1,release,,
1233,DWI5449,prison,2.333333333333333,1,release,,
1234,DWI5449,prison,2.3607118408333334,1,release,,
1235,DWI5449,prison,2.5,4,release,,
1236,DWI5449,prison,3.0,4,release,,
1237,DWI5449,prison,3.5,2,release,,
1238,DWI5449,prison,4.0,1,release,,
1239,DWI5449,prison,4.0273785075,1,release,,
1240,DWI5449,prison,4.5,1,release,,
1241,DWI5449,prison,5.0,2,release,,
1242,DWI5449,prison,6.246406570833333,1,release,,
1243,DWI5449,prison,7.5,1,release,,
1244,DWI5450,jail,0.2464065708333333,4,release,,
1245,DWI5450,jail,0.25,9,release,,
1246,DWI5450,jail,0.2773785078333333,1,release,,
1247,DWI5450,jail,0.32854209441666665,1,release,,
1248,DWI5450,jail,0.3333333333333333,1,release,,
1249,DWI5450,jail,0.4166666666666667,2,release,,
1250,DWI5450,jail,0.4928131416666667,2,release,,
1251,DWI5450,jail,0.5,137,release,,
1252,DWI5450,prison,0.5273785078333333,3,release,,
1253,DWI5450,prison,0.5410677618333334,1,release,,
1254,DWI5450,prison,0.55475701575,2,release,,
1255,DWI5450,prison,0.55578370975,1,release,,
1256,DWI5450,prison,0.5574948665,1,release,,
1257,DWI5450,prison,0.5821355235833333,3,release,,
1258,DWI5450,prison,0.5833333333333334,38,release,,
1259,DWI5450,prison,0.6642710472500001,2,release,,
1260,DWI5450,prison,0.6654688569166666,1,release,,
1261,DWI5450,prison,0.6666666666666666,9,release,,
1262,DWI5450,prison,0.6940451744999999,1,release,,
1263,DWI5450,prison,0.7464065708333334,1,release,,
1264,DWI5450,prison,0.7476043805833333,1,release,,
1265,DWI5450,prison,0.75,23,release,,
1266,DWI5450,prison,0.7773785078333333,2,release,,
1267,DWI5450,prison,0.8186173853333333,1,release,,
1268,DWI5450,prison,0.8297399041666668,1,release,,
1269,DWI5450,prison,0.8333333333333334,12,release,,
1270,DWI5450,prison,0.9154688566666668,1,release,,
1271,DWI5450,prison,0.9166666666666666,4,release,,
1272,DWI5450,prison,0.9965776866666666,1,release,,
1273,DWI5450,prison,1.0,44,release,,
1274,DWI5450,prison,1.0273785075,4,release,,
1275,DWI5450,prison,1.0547570158333337,1,release,,
1276,DWI5450,prison,1.0833333333333333,2,release,,
1277,DWI5450,prison,1.1047227925,1,release,,
1278,DWI5450,prison,1.1642710475,1,release,,
1279,DWI5450,prison,1.1666666666666667,2,release,,
1280,DWI5450,prison,1.2464065708333334,1,release,,
1281,DWI5450,prison,1.25,11,release,,
1282,DWI5450,prison,1.3333333333333333,1,release,,
1283,DWI5450,prison,1.4166666666666667,1,release,,
1284,DWI5450,prison,1.4308692675,1,release,,
1285,DWI5450,prison,1.5,10,release,,
1286,DWI5450,prison,1.6666666666666667,2,release,,
1287,DWI5450,prison,1.75,2,release,,
1288,DWI5450,prison,1.8333333333333333,1,release,,
1289,DWI5450,prison,2.0,10,release,,
1290,DWI5450,prison,2.1666666666666665,1,release,,
1291,DWI5450,prison,2.5,1,release,,
1292,DWI5450,prison,3.0,4,release,,
1293,DWI5450,prison,3.5,1,release,,
1294,DWI5450,prison,3.6216632441666663,1,release,,
1295,DWI5450,prison,4.0,1,release,,
1296,DWI5450,prison,4.25,1,release,,
1297,DWI5450,prison,5.0,1,release,,
3646,LIC6834,jail,0.08333333333333333,1,release,,
3647,LIC6834,jail,0.16666666666666666,1,release,,
3648,LIC6834,jail,0.3333333333333333,1,release,,
3649,LIC6834,jail,0.4166666666666667,1,release,,
3650,LIC6834,jail,0.5,3,release,,
3651,LIC6834,prison,0.6666666666666666,1,release,,
3652,LIC6834,prison,1.0,235,release,,
3653,LIC6834,prison,1.0136892541666669,2,release,,
3654,LIC6834,prison,1.0273785075,8,release,,
3655,LIC6834,prison,1.0547570158333337,1,release,,
3656,LIC6834,prison,1.0821355233333334,1,release,,
3657,LIC6834,prison,1.0833333333333333,9,release,,
3658,LIC6834,prison,1.1232032858333334,1,release,,
3659,LIC6834,prison,1.1642710475,2,release,,
3660,LIC6834,prison,1.1666666666666667,11,release,,
3661,LIC6834,prison,1.194045174166667,1,release,,
3662,LIC6834,prison,1.2464065708333334,1,release,,
3663,LIC6834,prison,1.25,32,release,,
3664,LIC6834,prison,1.273785078333333,1,release,,
3665,LIC6834,prison,1.2773785075,1,release,,
3666,LIC6834,prison,1.3333333333333333,13,release,,
3667,LIC6834,prison,1.4166666666666667,3,release,,
3668,LIC6834,prison,1.49880219,1,release,,
3669,LIC6834,prison,1.5,38,release,,
3670,LIC6834,prison,1.5136892541666669,3,release,,
3671,LIC6834,prison,1.5273785075,1,release,,
3672,LIC6834,prison,1.5833333333333333,5,release,,
3673,LIC6834,prison,1.6654688566666669,1,release,,
3674,LIC6834,prison,1.6666666666666667,5,release,,
3675,LIC6834,prison,1.7464065708333332,1,release,,
3676,LIC6834,prison,1.75,3,release,,
3677,LIC6834,prison,1.8333333333333333,7,release,,
3678,LIC6834,prison,1.9166666666666667,2,release,,
3679,LIC6834,prison,2.0,46,release,,
3680,LIC6834,prison,2.0273785075,2,release,,
