,compartment,outflow_to,tis_percentage,compartment_duration,total_population,time_step
21,prison,,85%,,1348.0,45.0
22,prison,,85%,,1348.0,46.0
23,prison,,85%,,1348.0,47.0
24,prison,,100%,,2810.0,36.0
25,prison,,100%,,2810.0,37.0
26,prison,,100%,,2810.0,38.0
27,prison,,100%,,2810.0,39.0
28,prison,,100%,,2810.0,40.0
29,prison,,100%,,2810.0,41.0
30,prison,,100%,,2810.0,42.0
31,prison,,100%,,2810.0,43.0
32,prison,,100%,,2810.0,44.0
33,prison,,100%,,2810.0,45.0
34,prison,,100%,,2810.0,46.0
35,prison,,100%,,2810.0,47.0
0,prison,,50%,,2235.0,48.0
1,prison,,50%,,2235.0,49.0
2,prison,,50%,,2235.0,50.0
3,prison,,50%,,2235.0,51.0
4,prison,,50%,,2235.0,52.0
5,prison,,50%,,2235.0,53.0
6,prison,,50%,,2235.0,54.0
7,prison,,50%,,2235.0,55.0
8,prison,,50%,,2235.0,56.0
9,prison,,50%,,2235.0,57.0
10,prison,,50%,,2235.0,58.0
11,prison,,50%,,2235.0,59.0
12,prison,,85%,,1392.0,48.0
13,prison,,85%,,1392.0,49.0
14,prison,,85%,,1392.0,50.0
15,prison,,85%,,1392.0,51.0
16,prison,,85%,,1392.0,52.0
17,prison,,85%,,1392.0,53.0
18,prison,,85%,,1392.0,54.0
19,prison,,85%,,1392.0,55.0
20,prison,,85%,,1392.0,56.0
21,prison,,85%,,1392.0,57.0
22,prison,,85%,,1392.0,58.0
23,prison,,85%,,1392.0,59.0
24,prison,,100%,,2924.0,48.0
25,prison,,100%,,2924.0,49.0
26,prison,,100%,,2924.0,50.0
27,prison,,100%,,2924.0,51.0
28,prison,,100%,,2924.0,52.0
29,prison,,100%,,2924.0,53.0
30,prison,,100%,,2924.0,54.0
31,prison,,100%,,2924.0,55.0
32,prison,,100%,,2924.0,56.0
33,prison,,100%,,2924.0,57.0
34,prison,,100%,,2924.0,58.0
35,prison,,100%,,2924.0,59.0
0,prison,,50%,,2066.0,60.0
1,prison,,50%,,2066.0,61.0
2,prison,,50%,,2066.0,62.0
3,prison,,50%,,2066.0,63.0
4,prison,,50%,,2066.0,64.0
5,prison,,50%,,2066.0,65.0
6,prison,,50%,,2066.0,66.0
7,prison,,50%,,2066.0,67.0
8,prison,,50%,,2066.0,68.0
9,prison,,50%,,2066.0,69.0
10,prison,,50%,,2066.0,70.0
11,prison,,50%,,2066.0,71.0
12,prison,,85%,,1424.0,60.0
13,prison,,85%,,1424.0,61.0
14,prison,,85%,,1424.0,62.0
15,prison,,85%,,1424.0,63.0
16,prison,,85%,,1424.0,64.0
17,prison,,85%,,1424.0,65.0
18,prison,,85%,,1424.0,66.0
19,prison,,85%,,1424.0,67.0
20,prison,,85%,,1424.0,68.0
21,prison,,85%,,1424.0,69.0
22,prison,,85%,,1424.0,70.0
23,prison,,85%,,1424.0,71.0
24,prison,,100%,,3013.0,60.0
25,prison,,100%,,3013.0,61.0
26,prison,,100%,,3013.0,62.0
27,prison,,100%,,3013.0,63.0
28,prison,,100%,,3013.0,64.0
29,prison,,100%,,3013.0,65.0
30,prison,,100%,,3013.0,66.0
31,prison,,100%,,3013.0,67.0
32,prison,,100%,,3013.0,68.0
33,prison,,100%,,3013.0,69.0
34,prison,,100%,,3013.0,70.0
35,prison,,100%,,3013.0,71.0
0,prison,,50%,,1861.0,72.0
1,prison,,50%,,1861.0,73.0
2,prison,,50%,,1861.0,74.0
3,prison,,50%,,1861.0,75.0
4,prison,,50%,,1861.0,76.0
5,prison,,50%,,1861.0,77.0
6,prison,,50%,,1861.0,78.0
7,prison,,50%,,1861.0,79.0
8,prison,,50%,,1861.0,80.0
9,prison,,50%,,1861.0,81.0
10,prison,,50%,,1861.0,82.0
11,prison,,50%,,1861.0,83.0
12,prison,,85%,,1442.0,72.0
13,prison,,85%,,1442.0,73.0
14,prison,,85%,,1442.0,74.0
15,prison,,85%,,1442.0,75.0
16,prison,,85%,,1442.0,76.0
17,prison,,85%,,1442.0,77.0
18,prison,,85%,,1442.0,78.0
19,prison,,85%,,1442.0,79.0
20,prison,,85%,,1442.0,80.0
21,prison,,85%,,1442.0,81.0
22,prison,,85%,,1442.0,82.0
23,prison,,85%,,1442.0,83.0
24,prison,,100%,,3080.0,72.0
25,prison,,100%,,3080.0,73.0
26,prison,,100%,,3080.0,74.0
27,prison,,100%,,3080.0,75.0
28,prison,,100%,,3080.0,76.0
29,prison,,100%,,3080.0,77.0
30,prison,,100%,,3080.0,78.0
31,prison,,100%,,3080.0,79.0
32,prison,,100%,,3080.0,80.0
33,prison,,100%,,3080.0,81.0
34,prison,,100%,,3080.0,82.0
35,prison,,100%,,3080.0,83.0
