,compartment,outflow_to,race,compartment_duration,total_population,time_step
11,pretrial,prison,white,,12.166666666666666,11
12,pretrial,prison,non-white,,25.5,0
13,pretrial,prison,non-white,,25.5,1
14,pretrial,prison,non-white,,25.5,2
15,pretrial,prison,non-white,,25.5,3
16,pretrial,prison,non-white,,25.5,4
17,pretrial,prison,non-white,,25.5,5
18,pretrial,prison,non-white,,25.5,6
19,pretrial,prison,non-white,,25.5,7
20,pretrial,prison,non-white,,25.5,8
21,pretrial,prison,non-white,,25.5,9
22,pretrial,prison,non-white,,25.5,10
23,pretrial,prison,non-white,,25.5,11
0,pretrial,prison,white,,12.75,12
1,pretrial,prison,white,,12.75,13
2,pretrial,prison,white,,12.75,14
3,pretrial,prison,white,,12.75,15
4,pretrial,prison,white,,12.75,16
5,pretrial,prison,white,,12.75,17
6,pretrial,prison,white,,12.75,18
7,pretrial,prison,white,,12.75,19
8,pretrial,prison,white,,12.75,20
9,pretrial,prison,white,,12.75,21
10,pretrial,prison,white,,12.75,22
11,pretrial,prison,white,,12.75,23
12,pretrial,prison,non-white,,26.833333333333332,12
13,pretrial,prison,non-white,,26.833333333333332,13
14,pretrial,prison,non-white,,26.833333333333332,14
15,pretrial,prison,non-white,,26.833333333333332,15
16,pretrial,prison,non-white,,26.833333333333332,16
17,pretrial,prison,non-white,,26.833333333333332,17
18,pretrial,prison,non-white,,26.833333333333332,18
19,pretrial,prison,non-white,,26.833333333333332,19
20,pretrial,prison,non-white,,26.833333333333332,20
21,pretrial,prison,non-white,,26.833333333333332,21
22,pretrial,prison,non-white,,26.833333333333332,22
23,pretrial,prison,non-white,,26.833333333333332,23
0,pretrial,prison,white,,12.333333333333334,24
1,pretrial,prison,white,,12.333333333333334,25
2,pretrial,prison,white,,12.333333333333334,26
3,pretrial,prison,white,,12.333333333333334,27
4,pretrial,prison,white,,12.333333333333334,28
5,pretrial,prison,white,,12.333333333333334,29
6,pretrial,prison,white,,12.333333333333334,30
7,pretrial,prison,white,,12.333333333333334,31
8,pretrial,prison,white,,12.333333333333334,32
9,pretrial,prison,white,,12.333333333333334,33
10,pretrial,prison,white,,12.333333333333334,34
11,pretrial,prison,white,,12.333333333333334,35
12,pretrial,prison,non-white,,25.916666666666668,24
13,pretrial,prison,non-white,,25.916666666666668,25
14,pretrial,prison,non-white,,25.916666666666668,26
15,pretrial,prison,non-white,,25.916666666666668,27
16,pretrial,prison,non-white,,25.916666666666668,28
17,pretrial,prison,non-white,,25.916666666666668,29
18,pretrial,prison,non-white,,25.916666666666668,30
19,pretrial,prison,non-white,,25.916666666666668,31
20,pretrial,prison,non-white,,25.916666666666668,32
21,pretrial,prison,non-white,,25.916666666666668,33
22,pretrial,prison,non-white,,25.916666666666668,34
23,pretrial,prison,non-white,,25.916666666666668,35
