statute_code,is_assaultive_misdemeanor,requires_so_registration,is_excluded_from_trs,is_excluded_from_parole_ed,is_excluded_from_probation_ed,is_owi_ouil
324.821273,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
324.821281B,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
324.821281C,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
324.821582,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
333.217711,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
333.52103,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
333.7401C2E,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
333.821273,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
462.3535,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
462.3536,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
462.3537,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
722.677,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
750.10A,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.136B,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
750.136B2,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
750.136B3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
750.136B4,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
750.136B4B,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
750.136B5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
750.136B8B,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
750.142,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
750.143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
750.145,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
750.145A,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
750.145AA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
750.145B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
750.145BA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
750.145C,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.145C2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.145C2B,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.145C3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.145C3B,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.145C4,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.145C4-A,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.145C4-A1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.145C4A,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.145D,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
750.145D2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
750.145D2A,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
750.145D2B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
750.145D2C,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
750.145D2D,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
750.145D2E,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
750.145D2F,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
750.145E,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
750.145F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
750.145G,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.145N1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.145N2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.145N3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.145N4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
750.145P1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.145P5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.157B,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.157B2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.157B3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.157B3A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.157B3B,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.158,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
750.158A,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
750.1671F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
750.17,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
750.170,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.174,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.1742,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.1743A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.1743B,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.1743C,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.1744A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.1744B,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.1744C,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.1745A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.1745B,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.1745C,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.1746,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.1747,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.174A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.174A2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.174A3A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.174A4A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.174A4B,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
